,code,name,momentum_d,momentum_w,day_5,day_10,day_20,industry1,concept,price_change_per,score
53,000753,漳州发展,58.28,96.06,48.73,56.21,51.29,汽车服务,"充电桩,PPP模式,低价股",10.0,4.0
54,300081,恒信东方,71.14,132.65,19.71,42.29,65.45,通信服务,"数字经济,雄安新区,空间计算,影视概念,数字水印",-4.05,1.67
55,603096,新经典,31.22,53.53,26.76,25.55,32.39,文化传媒,数字阅读,9.99,1.34
56,300883,龙利得,47.74,100.25,28.62,29.1,35.33,造纸印刷,,4.16,1.99
57,001308,康冠科技,36.86,40.21,29.08,26.66,35.26,消费电子,智能家居,-3.6,1.34
58,605199,葫芦娃,48.61,101.66,49.64,45.83,48.58,中药,"独家药品,新冠药物,病毒防治,流感,幽门螺杆菌概念,肝炎概念",10.01,3.67
59,600787,中储股份,42.43,108.18,26.72,41.12,70.27,物流行业,"证金持股,中字头,央企改革,统一大市场,快递概念,京津冀,滨海新区",9.98,2.34
60,300388,节能国祯,31.59,75.64,23.13,26.22,28.19,环保行业,,2.26,1.33
61,603256,宏和科技,36.94,74.03,24.41,22.6,26.44,玻璃玻纤,PCB,1.0,3.34
62,300459,汤姆猫,68.65,60.14,14.63,28.01,47.01,游戏,"阿里概念,人脑工程,托育服务,云游戏",0.0,3.34
63,603662,柯力传感,34.63,147.3,9.65,31.41,53.37,,机器人执行器,10.0,4.0
64,300660,江苏雷利,24.19,63.91,15.91,19.28,28.05,,机器人执行器,20.0,2.0
65,300033,同花顺,39.47,280.6,20.06,23.18,66.17,,"券商概念,鸿蒙概念,百元股,彩票概念,创业成份,深证100R,深成500,MSCI中国,HS300_",9.69,4.01
66,000564,供销大集,29.59,110.49,12.5,22.88,66.5,,"抖音小店,供销社概念,免税概念",9.9,1.34
67,605179,一鸣食品,49.27,80.51,51.17,43.97,44.67,,"乳业,代糖概念",10.04,4.0
68,603933,睿能科技,27.06,55.5,26.79,22.41,30.0,,"PLC概念,ETC",10.01,3.67
69,002995,天地在线,40.2,107.83,32.23,12.03,25.49,,财税数字化,10.0,2.33
70,605300,佳禾食品,33.44,56.59,33.08,29.95,37.66,,"代糖概念,娃哈哈概念",10.03,2.68
71,600415,小商品城,27.89,99.32,13.66,23.63,36.43,,"跨境支付,地摊经济,中俄贸易概念",7.88,2.0
72,002187,广百股份,42.48,81.58,35.01,38.89,36.28,,"退税商店,粤港自贸",6.93,2.3400000000000003
73,300229,拓尔思,44.19,110.31,9.19,27.61,46.32,,"电子身份证,知识产权,东数西算",19.98,1.67
74,003040,楚天龙,38.14,46.93,11.65,32.2,46.23,,"eSIM,ETC",10.03,3.34
75,002117,东港股份,43.12,91.1,-3.28,11.21,18.11,,彩票概念,2.93,1.0
76,603009,北特科技,41.19,155.82,17.69,38.67,44.89,,"基金重仓,汽车热管理,上海自贸",10.01,1.0
77,002301,齐心集团,53.42,95.62,49.92,50.92,55.86,,"社保重仓,数据中心,AI眼镜",9.98,3.67
78,300980,祥源新材,20.93,92.84,15.36,15.84,36.45,,"噪声防治,柔性屏(折叠屏)",5.27,3.67
79,300059,东方财富,15.68,202.82,5.25,6.36,18.52,,"参股期货,茅指数",5.74,1.34
80,600601,方正科技,31.67,68.15,28.61,21.52,19.64,,CPO概念,9.98,1.6700000000000002
81,300211,亿通科技,51.05,74.57,48.17,35.04,49.22,,"传感器,智能穿戴,广电",19.95,2.33
82,300276,三丰智能,36.14,106.69,22.18,29.96,65.24,,特斯拉,20.07,2.67
83,001209,洪兴股份,42.72,66.53,41.82,41.2,45.2,,"数字经济,QFII重仓",9.98,1.67
84,601615,明阳智能,18.52,76.91,16.87,13.78,18.93,,GDR,2.75,4.34
85,002527,新时达,40.53,92.57,19.28,29.67,44.24,,"同步磁阻电机,燃料电池,2025规划",4.37,5.0
86,300711,广哈通信,53.81,79.96,34.91,28.12,31.12,,华为昇腾,-5.55,4.0
87,000409,云鼎科技,27.87,27.87,17.65,22.63,22.91,,"北斗导航,煤化工",10.0,1.34
88,002582,好想你,44.18,101.8,33.81,38.45,41.01,,"健康中国,人造肉,职业教育,生态农业,RCEP概念",3.71,3.0
89,603110,东方材料,46.12,144.55,7.02,27.55,47.87,,娃哈哈概念,-4.34,3.67
90,000716,黑芝麻,42.83,135.26,41.08,34.5,65.37,,"养老概念,储能,粮食概念",9.95,3.0
91,002383,合众思壮,20.77,101.81,17.97,17.29,38.49,,"UWB概念,水利建设",10.01,2.34
92,301558,三态股份,41.22,48.01,18.09,6.85,39.33,,注册制次新股,10.31,2.0
93,300295,三六五网,24.3,160.46,10.29,9.19,21.0,,租售同权,5.1,3.34
94,603375,盛景微,20.23,20.23,13.59,13.48,17.94,,民爆概念,3.18,3.0
95,300162,雷曼光电,26.79,69.84,11.37,11.08,7.85,,"玻璃基板,MicroLED,中超概念",-2.96,1.33
96,300079,数码视讯,18.23,17.06,7.47,6.93,15.3,,"IPv6,智能电视",2.76,3.0
97,300171,东富龙,21.89,67.07,16.73,11.24,18.05,,注射器概念,5.47,3.0
98,300997,欢乐家,49.27,92.81,48.47,41.51,52.65,,乡村振兴,20.01,1.67
99,300664,鹏鹞环保,35.66,67.63,15.45,27.51,30.66,,"生物疫苗,垃圾分类",-5.79,3.0
100,300440,运达科技,33.89,93.12,18.45,16.32,24.59,,铁路基建,7.0,1.33
101,002042,华孚时尚,23.16,63.19,6.79,16.03,24.93,,东盟自贸区概念,2.47,3.0
102,002347,泰尔股份,35.22,80.29,18.48,30.4,38.53,,"动力电池回收,超级电容",10.09,3.0
103,002349,精华制药,18.57,39.01,11.13,11.56,12.73,,北交所概念,-1.83,3.33
104,301116,益客食品,24.76,55.43,20.19,14.37,17.01,,鸡肉概念,2.24,3.67
105,002321,华英农业,36.7,116.18,17.97,18.52,12.78,,"鸡肉概念,生态农业,土地流转",-6.57,3.67
106,002449,国星光电,16.82,51.53,10.59,13.32,16.92,,"碳化硅,裸眼3D",-1.18,2.0
107,002614,奥佳华,24.49,30.81,13.73,16.61,23.04,,血氧仪,-2.12,3.0
108,301313,凡拓数创,28.36,36.13,14.34,11.83,24.84,,裸眼3D,3.54,3.0
109,600386,北巴传媒,24.4,60.56,19.47,18.9,20.63,,汽车拆解,4.41,2.33
110,002195,岩山科技,29.93,80.18,14.29,14.29,26.9,,短剧互动游戏,3.37,1.67
111,002264,新 华 都,31.48,72.83,14.33,16.23,27.4,,赛马概念,4.15,4.67
112,300072,海新能科,32.68,178.14,18.49,16.97,22.97,,页岩气,-5.21,4.33
113,002356,赫美集团,35.79,84.96,19.67,20.99,36.02,,超级电容,-2.23,2.33
114,600340,华夏幸福,29.62,283.49,-1.71,15.66,14.74,,中超概念,-1.03,4.0
