,code,name,momentum_d,momentum_w,day_5,day_10,day_20,industry1,concept,price_change_per,score
0,300401,花园生物,39.97,95.27,20.09,31.2,28.32,"化学制药,原料药","合成生物,一季报预增,人民币贬值受益",5.86,4.67
1,300947,德必集团,26.42,25.14,24.89,12.45,3.69,"零售,商业物业经营","空间计算,旅游概念,租售同权,物业管理",20.0,3.67
2,600098,广州发展,9.46,44.87,7.36,7.19,4.19,综合,"可燃冰,广东自贸区",4.84,6.0
3,000560,我爱我家,16.9,137.8,14.55,0.0,-14.08,房地产服务,"鸿蒙概念,租售同权,物业管理,新零售",9.91,4.5
4,300950,德固特,7.66,68.71,7.2,0.58,-3.37,能源及重型设备,,1.64,2.99
5,600418,江淮汽车,8.9,21.02,3.39,0.18,2.36,商用载货车,,4.1,6.0
6,000543,皖能电力,11.98,20.61,7.96,8.09,13.41,火电,"超超临界发电,抽水蓄能,参股券商",4.18,3.34
7,600694,大商股份,6.54,57.0,5.22,2.12,-1.25,百货零售,免税店,3.15,5.5
8,603099,长白山,13.42,36.19,13.33,0.83,-1.33,,"冰雪产业,网约车",3.5,4.01
9,300010,*ST豆神,11.99,48.25,-1.12,-6.38,-13.44,,托育服务,-1.49,4.5
10,300458,全志科技,22.73,42.56,4.01,10.42,13.88,,"EDR概念,超清视频,语音技术,横琴新区",0.51,3.67
11,300857,协创数据,12.88,17.96,5.23,2.46,9.83,,云游戏,7.4,6.0
12,603499,翔港科技,6.74,164.94,1.52,-4.24,-19.08,,"工业互联网,上海自贸区",3.86,2.0
