,code,name,momentum_d,momentum_w,day_5,day_10,day_20,industry1,concept,price_change_per,score
0,600340,华夏幸福,62.69,293.58,-3.33,9.66,4.82,"房地产开发,产业地产","足球概念,特色小镇",1.16,1.2
1,002917,金奥博,155.9,140.53,6.01,4.18,-9.72,"化学制品,民爆用品","一带一路,节能环保,空气能热泵,民爆概念",0.26,1.1
2,300059,东方财富,17.09,202.82,0.54,0.29,4.1,证券,同花顺漂亮100,3.31,1.2
3,603727,博迈科,18.84,80.5,1.19,0.39,9.07,油气开采及服务,,-0.16,0.8
4,430489,佳先股份,36.44,638.94,8.13,10.93,9.96,"化学原料,其他化学原料","节能环保,国企改革,可降解塑料,光刻胶",4.13,1.2
5,000099,中信海直,30.09,137.28,-4.28,7.75,16.0,"机场航运,航空运输",,1.53,2.3
6,300147,香雪制药,25.37,238.4,-6.09,-4.2,-1.76,中药,"辅助生殖,禽流感,医药电商,细胞免疫治疗",-0.1,1.2
7,300391,长药控股,33.75,178.19,-3.25,7.67,-3.44,中药,,-1.65,1.53
8,603038,华立股份,16.29,431.89,1.77,3.73,5.43,"建筑材料,其他建材",净水概念,-1.36,1.2
9,603887,城地香江,31.16,362.93,8.3,15.65,24.07,通信服务,,9.98,1.2
10,002629,仁智股份,60.99,239.1,7.64,2.92,23.25,"油气开采及服务,油服工程",页岩气,0.0,3.3
11,002428,云南锗业,14.47,172.69,3.68,1.21,3.57,"小金属,其他小金属",,-0.89,1.2
12,300242,佳云科技,72.47,315.29,-6.91,3.85,-9.7,"传媒,广告营销","参股保险,网络游戏",0.99,1.2
13,600839,四川长虹,57.84,327.74,-3.72,15.78,35.03,"黑色家电,彩电","血氧仪,苹果概念,军工信息化,云游戏,钒电池,大飞机,智能音箱,NFT概念",5.0,2.3
14,605179,一鸣食品,241.06,316.61,-7.97,3.69,-10.48,"饮料制造,乳品","冷链物流,乳业,社区团购,电子商务,长三角一体化",-1.57,2.3
15,601336,新华保险,22.88,103.8,0.98,2.28,5.69,保险及其他,,2.94,2.53
16,600811,东方集团,40.56,477.27,-7.49,6.6,-5.83,"农产品加工,粮油加工","农业种植,化肥,电子身份证,预制菜,粮食概念,新型城镇化",-0.47,1.2
