,name,type,meet_count,meet_ratio,total_count,meet_codes
85,储能,concept,101,0.199,508,"839790,689009,002518,603031,603191,688299,300073,688567,871634,688069,301361,600580,002364,832885,002074,300183,000533,300520,603090,002951,002298,002313,600100,688719,002420,002407,600330,600152,300750,831010,603612,300632,300880,600821,002183,300074,300713,601727,301051,600187,600704,688097,002398,430556,301238,600207,300001,002692,300048,002056,600131,830809,301046,300890,688772,002460,688345,300207,300530,300035,300438,873152,603219,603206,301139,688391,300068,300656,000595,002050,603220,831627,001696,301390,002960,835985,300322,300769,873223,832978,600839,300916,002927,688499,301310,688618,603126,688218,002965,833346,001266,688261,300990,688208,300953,001283,300284,002324,300457,300014,600900"
86,华为汽车,concept,42,0.268,157,"300750,002232,300928,603890,300745,600523,600615,002674,688113,301270,600178,838030,000700,002892,002420,300375,000887,002036,300643,002005,300978,600152,002101,603158,601965,000868,603809,600733,600081,688711,002405,301186,002050,836720,688162,300473,002965,301488,300373,601689,603596,002920"
87,中芯国际概念,concept,24,0.338,71,"300567,688082,300346,600141,603160,600120,002407,002967,688549,603929,300236,688146,688361,300373,430139,300655,300398,688432,688596,688508,300623,300458,688416,688008"
88,光伏建筑一体化,concept,15,0.125,120,"600580,301027,002298,300001,300675,300412,600979,300344,601886,002398,603098,002056,301046,301390,603126"
89,碳中和,concept,30,0.139,216,"301500,301429,600570,300203,002734,002225,002298,603090,831039,300675,600476,688568,002401,603206,688066,002085,603126,002063,002639,300166,300649,688707,002421,688777,837092,002967,688051,300284,600039,300682"
90,数据中心,concept,122,0.382,319,"300935,301205,002518,301361,603200,002364,300541,301208,600633,603496,002657,831689,300290,300245,002232,688229,832171,600037,002912,002396,002298,000158,300520,300663,002777,300713,300173,300472,301218,300311,300768,300168,603110,000815,002229,600271,002313,300052,301178,300157,300170,300645,300647,002639,300166,300605,002197,300466,688051,301117,002238,430556,300846,000851,300730,688711,000066,300188,002236,300068,600850,003007,603042,600845,300684,835207,300212,603220,600728,002212,600131,002544,002279,300698,300612,688316,300895,603206,002123,002400,300608,300459,600536,688261,000977,301252,002771,300383,300678,600839,002122,688158,300603,002927,301085,300921,603019,002373,601728,300145,601789,002439,300578,600589,000925,603138,301503,600831,002418,002421,301185,600010,600654,002243,600996,603000,688296,002183,300807,600476,688562,002401"
91,合成生物,concept,39,0.264,148,"832982,301220,688185,603739,603139,605507,301108,002923,300801,300119,600298,301408,300702,301246,002734,832471,300412,688179,301301,301159,600380,836547,603079,301277,600812,603010,300267,300199,300171,300725,000739,002166,301087,301166,833230,300243,603276,688114,837023"
92,军工信息化,concept,41,0.427,96,"688682,301302,300302,001229,300629,002253,600990,002413,002298,688066,688552,301159,300830,300520,002777,002465,603488,688132,003029,831961,301117,688201,002439,300036,300659,300762,000801,688244,600839,839680,688270,301213,688631,600879,300379,300352,688562,002331,300845,300719,300047"
93,同花顺出海50,concept,7,0.14,50,"002555,000338,300750,002050,603298,002475,601689"
94,AI语料,concept,22,0.489,45,"603000,300226,300654,600728,688590,603888,300766,300341,600825,002649,688228,601858,600839,300996,000681,300418,002230,600100,300248,300369,300166,300133"
95,铜缆高速连接,concept,3,0.088,34,"603042,002475,688515"
96,高股息精选,concept,67,0.153,438,"831689,605259,834682,603967,603115,603966,002674,600900,603006,002441,002734,300981,603444,601166,603357,603700,831039,000156,601801,603699,688057,002545,600229,002539,600030,600527,603327,000559,002440,301087,600662,000498,002191,301003,600266,601601,002061,002925,601216,601688,002624,600704,600782,836270,300823,600497,832566,002867,833427,600039,834599,000338,600153,002572,601728,601939,601789,600761,601811,833075,601318,603277,603219,603095,601336,603298,001696"
97,AI PC,concept,12,0.343,35,"001339,603890,688327,301312,872190,688031,001283,300476,002156,000066,688039,002815"
98,AI手机,concept,8,0.348,23,"603160,603327,300476,002632,688173,688484,002230,688601"
99,人形机器人,concept,21,0.206,102,"601727,300476,002815,002050,600580,001339,300433,002698,688255,301310,688218,603666,002230,301160,688777,300953,873593,688017,002354,603893,002933"
100,Sora概念(文生视频),concept,17,0.548,31,"600880,600640,300079,603888,300578,300192,600633,002354,002530,002575,603466,300133,300067,300188,688039,300418,688228"
101,专精特新,concept,288,0.286,1008,"688617,832982,688050,832522,300302,603061,688090,688239,688289,301361,001339,603786,603722,832110,688768,300900,836961,001229,301388,688100,300290,688386,300816,605298,300484,301306,603191,833284,688299,001223,430476,688510,688776,834682,002912,873576,688369,301567,603496,688155,300835,688625,300753,301337,300588,300346,832651,300220,300586,301209,688367,871634,300981,603041,002849,003033,603325,871642,300515,603115,603966,688215,688435,688552,831689,002560,688143,872374,300576,603321,688113,688317,835438,836547,836957,603330,688069,002166,301087,301218,002675,300016,603089,300183,300642,301292,688398,831856,832175,836247,836419,838810,001360,002892,300195,300264,300412,300743,688179,688203,839792,688685,836263,872925,603079,688057,838837,001256,002805,300404,300876,301060,300326,603052,837344,603158,688323,300880,300337,603098,688350,830879,836270,002932,300823,605399,688273,688560,833030,839719,871970,873706,300758,688319,688329,300304,301332,603088,831278,873690,688403,830809,873833,300643,300881,688269,688690,688648,831961,837663,002324,873703,872541,300145,688201,688478,832225,833509,002903,300480,300531,688548,003029,688184,300846,000801,003005,300762,301235,688387,002158,300769,688108,688195,833523,836414,873223,688039,300479,688584,832978,300411,688786,688158,688206,688135,002927,300460,603809,688596,603095,688168,688391,301338,688420,838924,833751,300236,688159,605016,873152,688233,688244,002698,605305,835892,688048,835207,688327,870357,301349,301360,688058,688522,001696,300661,688213,835670,603290,839167,688653,300678,301399,688218,835305,688458,603666,688162,688392,688060,831832,688667,603270,688409,300035,688489,835237,301488,301160,688228,688691,300990,301255,688153,835174,688508,603596,688290,688234,688312,688582,300623,301086,871981,688535,301095,688208,873593,301141,688711,832876,688651,688280,688296,688778,831167,837174,000584,834475,688512,833230,688338,688353,831526,688049,688205,301213,873726,001266,688152,301252,300604,688017,301310,301312,688618,300590,688080"
102,钠离子电池,concept,40,0.367,109,"832522,603200,300750,300073,688567,300801,300586,300343,002125,002759,300409,301292,002407,002709,600152,300568,300758,600409,688707,688184,301238,688778,002324,300014,688345,300919,688353,300890,300207,300530,000066,300438,603529,300068,835185,301349,001696,688499,831832,001283"
103,CRO概念,concept,14,0.241,58,"688185,603739,688247,688222,300412,002250,300404,300149,300199,300725,301277,002086,000739,430478"
104,牙科医疗,concept,6,0.24,25,"301033,603139,002901,603090,002167,300337"
105,MCU芯片,concept,23,0.39,59,"002448,300183,600271,300184,300455,300458,688521,688049,688416,688047,688391,002405,600460,688458,600060,002049,430139,300223,300484,603893,300681,603160,000559"
106,共同富裕示范区,concept,42,0.235,179,"601116,002244,300837,603578,300766,873169,600633,605055,600235,601878,002570,600152,002632,603321,003030,600596,601108,688109,600571,300703,300945,002761,300645,001256,002010,002164,301218,300250,603103,603219,300411,300412,600120,002061,002085,605179,688777,300649,000607,600704,000739,000909"
107,鸿蒙概念,concept,105,0.471,223,"688111,001339,300541,002899,300766,301208,301382,300290,301337,300550,002609,605259,872953,603038,688229,600633,688369,837592,603496,002657,600570,835184,603636,000158,301159,300663,300830,002777,301270,603160,301172,300768,002649,300168,300352,301178,000676,300170,002183,002331,300248,600100,300043,002063,300166,300605,002197,002558,003029,300773,300253,300925,603000,300226,603189,002093,605299,002530,603383,300467,002268,002212,600131,688201,300531,002439,300036,300659,603206,002123,300608,300459,300687,301378,300250,832876,300188,600588,688609,301153,300047,300451,300632,002421,002624,300448,600880,300634,000997,002236,002405,688159,688327,688058,870199,603171,002819,301169,603039,688489,688225,688777,300223,301578,688047"
108,天然气,concept,15,0.101,148,"001299,603727,002849,002483,300157,002629,300435,002700,601216,600207,300523,600979,836717,831010,002639"
109,食品安全,concept,22,0.297,74,"603739,430476,300203,688317,300797,301159,002777,600271,300645,871970,002086,002967,688690,600718,300284,832225,300531,300730,688298,300188,000997,688056"
110,农业种植,concept,15,0.221,68,"600596,600811,000833,000793,002539,002717,300237,832023,000972,002166,605138,600354,603139,831087,600371"
111,旅游概念,concept,18,0.168,107,"600650,603466,002694,300052,000793,300237,300133,002707,600088,300989,002717,002153,002558,600640,300027,600996,300291,301262"
112,网络直播,concept,46,0.205,224,"300595,300888,002354,605299,603900,002712,003030,002094,002397,300010,600880,002238,300242,300027,002095,002867,300616,300654,603189,600633,603888,300291,000564,601811,300730,002183,002717,300315,301332,002570,600229,301262,002291,600839,002236,002995,300792,838227,300805,603330,002166,301052,300133,002707,300729,300113"
113,3D打印,concept,23,0.217,106,"002892,688203,301033,002901,002698,688786,300690,002529,300433,688231,603308,300220,688167,873593,002302,300747,002526,300337,300134,300210,002691,002420,002545"
114,租售同权,concept,4,0.2,20,"002244,002208,000838,000056"
115,云游戏,concept,16,0.667,24,"300113,300264,300052,002555,300043,300148,002624,002558,600640,300134,002174,300459,300846,600839,688158,300494"
116,两轮车,concept,17,0.37,46,"689009,002364,600152,688280,300014,873833,688345,300207,831627,001696,300590,001283,603529,300438,873152,832149,300068"
117,ETC,concept,24,0.533,45,"001339,300541,300552,002941,300520,300184,300448,300603,300790,002049,600106,000909,300079,873806,002373,000997,300768,601801,300379,603869,600271,002331,002654,002401"
118,丙烯酸,concept,1,0.091,11,603722
119,供销社,concept,3,0.214,14,"000893,600354,000564"
120,军民融合,concept,40,0.215,186,"300900,002560,688543,688231,002917,300733,688776,002253,600523,600990,601606,002023,002254,688685,002777,600879,002063,002406,300719,002465,600839,300411,688270,001696,002771,301213,600151,002097,300352,002439,002544,000801,300762,000066,873169,301306,300600,002413,688552,002933"
121,上海自贸区,concept,13,0.22,59,"603729,000571,300642,600151,688653,688691,430139,688521,600650,002451,002401,603189,600845"
122,化肥,concept,10,0.169,59,"000893,603739,300505,600812,002545,600141,000833,002539,600811,000912"
123,金属回收,concept,12,0.218,55,"301500,603799,838030,001360,600497,688269,002716,002666,002183,834033,300145,300068"
124,足球概念,concept,3,0.12,25,"002899,300043,600340"
125,芯片概念,concept,187,0.302,620,"300302,603061,688090,300489,002917,001229,300776,300629,688100,002212,300398,002036,300400,002960,833509,300480,300531,688548,002213,300346,002354,300455,301117,002079,002268,300536,688403,688387,603160,300341,300513,688167,000938,300378,688030,600879,605588,688533,300183,603052,002407,600271,600552,600770,002654,300873,603010,002191,300304,603088,603933,872925,300523,300067,300139,300184,301503,688097,300322,300659,002156,300456,002194,002197,688512,831526,603186,688628,300846,003029,002243,300448,300506,000056,002465,000851,300762,301235,300730,688711,832876,688484,688618,300590,688653,301099,688458,603893,002023,002413,600141,002957,002967,688459,688549,831167,688391,832149,688001,688061,301338,300825,600330,002183,300724,688259,688372,300661,688213,603005,688261,688601,688691,300236,688048,603290,301312,000997,688206,688135,300460,300567,300192,688638,300484,871981,688535,301095,300604,300782,600060,873726,300042,688508,300223,688234,688312,688582,300623,603991,301205,688343,688047,688515,300458,688521,430139,688777,688153,688049,688205,688416,688486,688392,688060,002049,300373,002475,688041,603019,688008,600520,002845,002405,688270,300656,600460,688352,688233,300710,688173,688409,000066,603929,688728,000925,601858,688584,600839,688172,688146,003031,688432,688596,688361,300418,688489"
126,光伏概念,concept,93,0.165,563,"300935,002518,300489,600363,300125,600596,601886,002063,605566,688560,603098,300433,836414,301139,832149,002138,300398,600153,600549,002056,300304,600151,002208,002571,002629,002717,688596,002529,688711,301310,873726,688097,002398,600615,300290,002692,002808,300048,002451,603330,688069,300472,601727,000833,002358,000958,300391,600821,605138,600552,600770,600330,600979,000815,300195,834682,300835,300776,002560,000695,603578,300713,688638,000533,002062,002925,300082,002965,300373,688261,688559,600207,831641,002079,300476,834770,301390,839167,835368,002123,301046,688628,000595,300684,603220,300724,002158,300682,688478,835985,002632,300139,300466"
127,手机游戏,concept,33,0.55,60,"300133,002526,300148,002624,300002,600880,002558,600640,300052,002555,000793,300315,300043,600173,002354,300467,603466,600770,603444,839790,301302,300113,600633,002919,300459,600986,300533,300710,300494,300418,300027,002174,300299"
128,净水概念,concept,8,0.154,52,"603038,300801,300334,833346,688296,603355,300145,301332"
129,乳业,concept,3,0.091,33,"002183,002570,605179"
130,航运概念,concept,5,0.091,55,"601216,002401,300240,002483,603967"
131,独角兽概念,concept,44,0.389,113,"300489,300541,300290,300588,600633,000532,688685,601727,300016,600825,601801,002407,000676,002208,300369,300067,300184,600187,600386,002654,600229,600571,600462,300688,300456,601811,600986,300171,601318,688195,300438,300479,300494,300603,300212,002085,835305,300418,002230,688031,837092,688049,603000,600718"
132,盐湖提锂,concept,8,0.19,42,"603799,300055,000762,002539,688350,300014,002460,300207"
133,动力电池回收,concept,23,0.319,72,"300750,300837,300409,002849,300001,603799,838030,300618,002074,002145,688707,834033,600549,002460,300919,001283,300647,600386,002709,603088,600733,300207,300068"
134,水泥概念,concept,3,0.083,36,"601216,603280,002302"
135,石墨电极,concept,8,0.32,25,"603612,300409,832175,600516,839719,300890,300035,835185"
136,超级品牌,concept,4,0.098,41,"300999,002607,000538,600941"
137,无人零售,concept,9,0.409,22,"600728,000564,300479,000997,300656,300220,300663,600825,300248"
138,特色小镇,concept,5,0.132,38,"002244,002717,300237,300027,600340"
139,雄安新区,concept,42,0.225,187,"301091,002302,300767,300334,603357,000958,002586,300374,600846,688066,002282,000931,603280,300157,002331,002717,300807,300662,300675,600133,600739,300055,300649,002410,603098,300284,002212,000062,300212,603126,002230,603019,002158,002373,600340,002544,002279,300608,600812,300823,300210,603138"
140,金属钴,concept,9,0.29,31,"300073,300409,603799,300618,000762,600549,002460,300919,000426"
141,工业互联网,concept,112,0.327,342,"600580,001339,603191,002232,002917,688229,300183,300379,300378,002912,688030,603496,002657,600843,688171,600100,600756,603308,300801,600850,600845,688078,000559,300472,001696,300226,834599,600728,300250,300730,300479,600839,688158,002927,002236,301338,300352,603280,300170,300433,600588,688609,000925,603219,002698,300532,002439,603206,301159,300830,300515,002298,300001,000158,002925,688367,002734,002212,002056,688387,002158,603933,002010,002097,300873,300195,002313,002407,002364,688768,600761,300687,000851,300207,601727,300311,300374,300768,000739,003029,603613,002957,601608,300453,300466,603019,688060,002230,300682,603225,688201,300531,600355,600718,688777,002771,688618,300590,688080,300383,300607,002406,002639,300166,300369,688097,300002,688031,837092,688183,603083,300921"
142,节能环保,concept,52,0.159,327,"300192,300816,301259,002917,688196,000504,300237,601608,603158,300067,832802,603280,836263,688480,002717,300435,603135,001360,688625,300203,300801,300055,300056,002085,603126,600187,688080,300953,603098,688370,002967,002125,600283,300536,832145,873703,000338,002322,300048,688096,836957,600133,688069,301500,839790,603200,603739,300334,601727,002158,300145,300125"
143,举牌,concept,8,0.235,34,"600739,836414,430425,000793,600527,002331,688118,002005"
144,职业教育,concept,53,0.402,132,"300935,300192,600861,300662,300675,600739,300379,300688,002279,603206,002400,300608,600730,003005,688083,300645,300248,300315,002607,300654,002093,600662,300166,300845,002194,002197,002253,002912,603373,300513,002441,002023,300559,002858,300797,300830,300789,839680,300790,835207,300047,000607,300002,300148,430090,600271,301178,002659,603377,002967,300134,300188,688244"
145,垃圾分类,concept,11,0.117,94,"603280,300203,600846,002358,300056,300334,300145,300237,002197,300536,301259"
146,拼多多概念,concept,15,0.405,37,"300792,300959,838227,002571,688648,300531,834415,300710,002122,300766,000676,300805,688365,300612,002995"
147,OLED,concept,39,0.273,143,"600363,300567,605218,300661,688378,300223,300928,300346,688167,301321,000045,605588,300940,603052,600552,600330,688403,300400,300747,000536,300476,300184,300632,600355,300169,600458,300576,603160,002845,300457,300655,300398,002036,600839,688001,600460,002456,603929,300433"
148,互联网金融,concept,61,0.326,187,"839790,301380,601688,002707,600880,002558,688316,300921,600850,603042,300872,688327,688058,301169,002530,603383,002649,600271,300052,300352,000676,688118,300166,300047,600831,601216,300663,300830,300608,301378,300730,600588,000997,300996,300603,300773,300925,002095,002657,600570,300245,002212,300079,600571,000062,002373,688590,688229,832171,837592,300226,002093,300541,301208,688227,688435,000158,301159,300248,600476,600527"
149,同花顺漂亮100,concept,22,0.22,100,"688111,300750,000538,603833,603799,002311,600346,600111,000338,300014,002460,300999,600030,002709,002230,601318,600588,300433,600900,002049,002475,300782"
150,物业管理,concept,23,0.146,158,"000158,002451,000029,002244,002575,002183,000045,002208,600383,600386,600173,600622,600654,000056,002243,601162,600730,000801,603682,600605,600624,688109,600153"
151,低辐射玻璃(Low-E),concept,1,0.083,12,600207
152,国资云,concept,24,0.522,46,"301091,002232,600037,600756,000938,000158,000815,300523,600476,600100,002401,002268,300987,601728,300188,601858,600850,300212,300895,000977,002063,600831,002238,603000"
153,电子身份证,concept,22,0.564,39,"603636,300663,300311,300168,600271,300645,002439,300608,600536,300730,300188,301153,300479,000997,300656,301213,300166,003029,600355,002212,600811,300531"
154,数字经济,concept,164,0.467,351,"301302,301380,300541,300766,301208,002912,600633,002657,300081,600570,300245,002354,301281,002530,002441,301382,001229,603602,300290,300588,688227,000533,002609,002232,872953,688229,300378,000156,002649,300168,300379,600193,002229,300195,688435,000158,002808,002858,301159,002302,300173,301172,300311,301027,603466,835184,002298,603636,600271,603869,300052,301178,603280,600476,603135,688479,688568,002401,300520,300663,300830,002777,002811,300166,301102,600624,600658,002197,300047,000503,000607,002398,002421,002835,300002,300096,300448,430090,600880,002654,300344,300873,002063,301117,300366,300645,002331,002717,300248,600100,002093,300299,002212,600776,688509,000676,000793,300170,002659,003029,002236,003007,300872,835207,002279,603206,300608,600536,300207,301378,300250,300730,301262,002291,000066,300773,600640,603613,002243,300027,300147,300925,600571,301052,002373,835305,301169,300612,603039,688489,300895,300188,600588,000925,300479,601858,600839,300634,839680,000997,300996,688158,300603,002927,301139,603888,300531,002439,300036,300688,002995,839493,301085,300921,603019,300212,301390,835670,603171,688365,002771,688618,300383,300678"
155,金属铅,concept,8,0.258,31,"600301,600497,002716,600988,000426,000603,000758,600173"
156,托育服务,concept,5,0.294,17,"000607,300703,300459,300010,300096"
157,跨境支付(CIPS),concept,25,0.431,58,"002153,003029,300541,301208,300663,002647,300773,300079,600571,600811,601939,688590,688201,002439,600839,000997,600850,300872,688327,688058,688225,601166,002649,300379,002094"
158,中俄贸易概念,concept,22,0.165,133,"300489,603967,301439,603727,002225,300534,603700,300240,300195,603280,002691,603135,002406,873706,002632,301503,003029,300823,688459,600811,300531,002698"
159,俄乌冲突概念,concept,9,0.125,72,"603799,300157,300435,002629,300284,603967,600811,000426,603727"
160,东数西算(算力),concept,109,0.522,209,"001339,301208,688685,300472,600186,600193,600821,603110,000815,002229,300052,301178,603496,002657,300081,300245,002354,600941,300157,300366,300825,600979,002183,300807,600100,603602,300113,300588,300192,000533,688229,688051,300344,300166,300605,002197,300047,300067,300133,002575,000938,002298,002413,603636,300520,300663,300002,600654,002243,300925,603220,300798,002771,300383,688158,300494,300603,688135,301139,688168,300536,600131,688387,601789,002439,300688,600850,003007,838924,600845,835207,300056,688327,300212,835305,300042,300418,600996,603000,603985,688316,002230,688225,300895,688228,301085,300921,688041,603019,688343,688047,000977,839493,300458,837092,688521,688205,300456,300608,300459,300846,003005,300250,300730,000066,300188,300578,600589,000925"
161,国企改革,concept,248,0.176,1406,"688297,688543,831087,300694,300697,300290,600861,301091,002232,300073,600298,600037,000029,002708,002912,873576,000504,600633,600962,600184,600756,600900,837748,600523,603373,600262,000532,300341,600941,000702,600301,600990,601606,002125,300981,002254,600650,600846,002396,300600,600056,600422,688334,600141,600458,688552,000158,002282,002692,002941,300797,002258,002302,002712,002933,601069,300534,688247,000972,002777,301370,600178,603327,000566,300173,600722,601727,603357,000045,000958,002586,300374,300675,600133,600739,600783,600825,600879,831039,000156,000762,000833,002358,300183,600235,600821,601801,601878,000815,300030,600120,600271,600552,600758,688203,002313,002483,600578,688509,002061,002761,300289,300523,600392,600979,838837,000758,002091,002183,002208,002717,300528,600100,600151,600386,600387,600476,600649,601555,603088,688562,688568,000420,002097,002401,002654,600229,600622,600662,600671,600812,688119,000498,000536,002063,002101,300237,600266,600624,600658,601599,601608,830946,300466,002673,002939,600409,600831,601688,601965,688707,000503,000607,000868,300096,600010,600704,600880,600959,000909,002238,002465,002659,600640,600782,002243,002967,301238,600207,600497,600996,603000,688459,688778,837174,002716,300134,601108,601162,603985,688269,300284,300455,600039,688648,002268,300457,300987,000338,600111,600153,600549,600776,873806,600131,300747,601728,601939,300145,300703,603888,601789,688548,000636,000912,002439,002544,601811,600536,600733,688128,600986,000801,300530,603108,301262,000066,000099,300188,688352,301153,688475,300479,601858,600839,600845,835892,000595,688172,002400,300426,600761,688146,300212,003031,430198,002819,603126,300678,300042,300895,688631,000977,600088,600850,002307,688387,603019"
162,上海国企改革,concept,9,0.122,74,"600846,600650,688247,601727,600825,600649,600662,300457,600624"
163,央企国企改革,concept,63,0.166,379,"688297,600037,600056,600422,688334,600458,688552,300797,002302,600178,000566,000958,300374,600879,000762,000815,600271,600552,300523,000758,600100,600151,600476,688562,600523,601965,688707,000503,600640,600782,600497,600262,600990,601606,688509,300455,600776,600131,600962,600184,600900,688387,300747,601728,600536,688128,000066,300188,600088,600850,600845,688146,300212,003031,603126,002401,002939,688631,600622,002232,300073,688119,002063"
164,深圳国企改革,concept,8,0.258,31,"000045,300675,002183,002238,002243,301091,002912,000029"
165,PET铜箔,concept,7,0.171,41,"002191,300632,600346,001223,003015,688499,688392"
166,AIGC概念,concept,115,0.535,215,"301382,300113,600756,300081,600570,002354,002530,000938,300170,300645,002717,300315,301332,002396,301027,603466,002298,002858,603660,300520,002811,603888,688201,300036,300688,300133,300451,688004,002398,002624,300002,300096,600880,002558,002607,600229,688118,600728,300079,000785,301052,002373,600640,300925,603000,300134,301262,300188,600588,688039,300479,300687,300846,600986,003005,301378,603108,833075,300616,600718,688109,002174,300654,603189,300251,300299,300987,002279,002123,002400,300459,000977,002995,872190,839493,300792,688031,301270,301172,000156,002649,300379,002229,300264,002063,300010,300166,301102,300067,300634,300996,300494,600850,834475,603666,300418,002230,688228,688777,837092,603171,688365,300383,300678,835305,301169,300612,300378,688369,837592,002657,835207,688327,000681,688058"
167,高压氧舱,concept,0,0.0,9,
168,Web3.0,concept,30,0.5,60,"300541,300113,002657,300081,002354,300036,600986,300250,002291,300578,688039,301213,300612,300418,002995,603019,688590,603888,300688,603636,002858,300663,002229,300264,301178,300645,000676,002401,300166,300096"
169,创新药,concept,28,0.161,174,"688302,600056,301408,000566,002675,300016,600535,000538,002923,300238,300404,837344,000739,300147,688222,000931,832735,300199,300725,300009,688163,300149,000766,300485,002250,600380,688317,832982"
170,信创,concept,163,0.574,284,"688111,300935,300302,001339,002530,603383,002396,300559,002298,603636,300541,301208,001229,300290,301337,300352,301178,688509,000793,300170,300366,688435,000158,002808,301159,603660,300520,300663,832171,002253,002912,688030,688369,837592,603496,300047,300451,688004,002421,300002,300096,600654,002657,600756,600570,002213,300245,002354,002063,300010,300166,300369,300719,002197,600718,603189,688579,002268,002212,300379,300195,600271,002322,300588,688227,301091,002232,872953,688229,300830,002777,300271,300768,002649,300168,300687,300846,000851,003005,301378,300250,300730,832876,834415,002279,002123,300608,600730,600536,300531,002439,300036,300659,688609,000925,301153,688244,603138,300479,600839,300634,000066,300188,300578,600588,688039,003029,688132,300253,300925,688047,688228,688777,688083,000977,301095,835305,301169,688023,301213,688152,688171,002183,600100,688562,002401,300344,688118,603039,688060,831832,688316,688489,688225,301390,603171,002771,002819,300590,300678,600776,600571,688590,688201,300996,688158,300603,688168,002236,600850,838924,300454,300872,835207,300212,688058,872190,688031,837092,300921,688041,603019,688343"
171,有机硅概念,concept,13,0.317,41,"603041,600141,600458,300821,600409,301238,605399,600596,688353,836247,002666,002709,002091"
172,空气能热泵,concept,11,0.25,44,"301252,300145,002050,301399,600187,002418,002158,603088,002639,603158,002917"
173,先进封装,concept,32,0.258,124,"603991,300489,688082,688167,300236,300776,300567,000056,688549,688352,688061,301338,600460,002815,600520,002845,002079,300398,688403,300400,300480,300322,002156,300456,688361,603005,430139,603186,000925,600552,688535,688521"
174,减速器,concept,21,0.21,100,"002708,002526,688280,601727,002031,301170,300825,300881,837663,603809,600081,603270,836720,688162,300904,301255,873593,688017,300681,002164,600178"
175,TOPCON电池,concept,9,0.136,66,"300776,835985,300125,300433,688559,300724,835368,002079,002056"
176,钙钛矿电池,concept,6,0.115,52,"300056,300724,688499,688378,300776,300758"
177,生物质能发电,concept,0,0.0,41,
178,一体化压铸,concept,12,0.25,48,"600733,001311,000584,300881,603978,601608,002101,603190,300825,002085,002965,601689"
179,F5G概念,concept,9,0.257,35,"603042,603220,603890,002396,601608,000801,300250,688205,603083"
180,比亚迪概念,concept,154,0.28,550,"300766,600580,603786,832522,688090,300073,300733,300928,831195,300567,003033,002213,301500,600523,002708,300572,603890,300745,301181,301246,300484,000533,605218,688299,300409,002413,300713,603330,603799,000559,002448,301159,688113,835438,300520,603089,688533,300343,600615,600990,002125,002759,301292,688251,836247,002666,300825,600843,002101,300237,603158,688560,002824,300466,300568,300632,300337,300375,300506,300975,600654,003029,002709,300304,300807,600151,603088,688719,002420,002654,002805,002882,688280,000584,300881,603010,002079,300457,300655,000338,002036,002056,300400,300145,830809,000062,688353,300890,300433,873223,301210,002703,688478,002903,300532,300978,000636,002313,002407,002957,002967,300925,832978,300690,688159,002050,300322,603809,002156,836720,003031,688213,688255,300916,001311,002927,688499,002819,002085,301310,301312,300678,300460,301338,835185,300656,600460,300852,301186,002815,300461,300607,301099,688162,688392,300473,603197,873726,688128,600081,688711,601689,603596,002965,301488,300373,300953,001283,002920,688261,688559,688601,301255,688153"
181,特斯拉概念,concept,58,0.25,232,"600580,300750,605218,300073,603890,002101,300476,603158,300184,603190,300322,002156,688097,300337,002666,600330,002709,002036,002056,300643,002460,001311,688001,300136,002405,301186,600458,603006,300713,603799,300240,000700,002407,838030,688533,002085,688218,688458,603197,688162,002965,300373,688559,300293,300925,300433,000584,300134,000887,300890,002815,002050,836720,837242,601689,603596,300532,300919"
182,煤炭概念,concept,6,0.075,80,"000571,600595,002526,002691,601216,600758"
183,钒电池,concept,5,0.147,34,"601727,600387,002145,600839,301349"
184,医美概念,concept,15,0.188,80,"301033,300888,300753,000538,300238,301017,688167,837023,000739,688273,000584,002950,601886,300632,600704"
185,社区团购,concept,8,0.2,40,"601116,600779,003030,002695,000607,000564,300805,605179"
186,辅助生殖,concept,14,0.215,65,"300642,300485,300289,002932,300147,688273,301235,300199,301060,002570,600704,300009,600380,301122"
187,第三代半导体,concept,36,0.273,132,"300489,300776,300484,688082,002023,300576,002407,600330,839719,300184,300632,002079,300398,002903,002156,300456,688234,300623,835368,301213,688711,300656,600460,000062,300400,688478,833509,688172,003031,300724,603290,002049,300373,603005,688261,688559"
188,科创次新股,concept,2,0.133,15,"688584,688691"
189,注册制次新股,concept,5,0.064,78,"301578,688691,688584,301567,603325"
190,代糖概念,concept,4,0.174,23,"603739,002166,600783,605016"
191,可降解塑料,concept,10,0.135,74,"300586,301193,001223,832471,688203,603615,601216,600346,002243,300243"
192,汽车拆解概念,concept,6,0.261,23,"301500,838030,600386,603190,600704,837242"
193,NMN概念,concept,5,0.179,28,"603139,600298,832471,300267,300199"
194,海南自贸区,concept,4,0.133,30,"000571,000793,000564,000566"
195,快手概念,concept,22,0.468,47,"300541,300766,002354,300169,002712,000676,002654,000607,300925,002279,002400,300459,600986,300846,002291,300494,000681,300612,002995,300792,301085,300959"
196,免税店,concept,2,0.062,32,"002707,000785"
197,国家大基金持股,concept,18,0.375,48,"688172,688146,688213,688361,688508,301095,300604,688549,300655,300456,002156,688512,688728,600460,300567,300346,603893,688521"
198,参股保险,concept,12,0.218,55,"600739,600120,600392,002091,300096,600704,300242,300773,600588,002405,002558,600718"
199,装配式建筑,concept,18,0.184,98,"300935,301429,301027,002302,002811,300675,300374,603030,300767,002761,002061,002398,601155,300823,601789,603273,601886,000498"
