,name,type,meet_count,meet_ratio,total_count,meet_codes
24,ChatGPT概念,concept,72,0.533,135,"300192,300378,002912,002657,002212,600571,688590,300688,002279,688343,301380,688768,300766,300925,300226,300654,600728,300047,300002,300096,002558,603613,300253,002229,600271,300352,301178,000676,002555,300523,002717,600100,002401,300166,002197,300520,300830,300271,002649,300379,300081,600570,300245,002354,002530,603466,603660,002123,300459,300687,000851,301378,300188,600588,603666,300418,002230,688228,688609,000925,300479,600839,300634,600850,300454,688327,688058,603171,688365,835305,688023,300612"
25,成飞概念,concept,11,0.306,36,"688297,301302,300900,002560,873169,300733,002253,000571,300719,002465,603809"
26,国产航母,concept,7,0.189,37,"600184,600990,300600,601608,300337,002465,000595"
27,血氧仪,concept,7,0.318,22,"301290,300753,300869,300206,301087,600839,835892"
28,POE胶膜,concept,3,0.12,25,"603330,605566,688560"
29,数据确权,concept,42,0.712,59,"300541,300113,301091,600633,002657,300081,002354,300220,603636,301159,000158,300663,300271,300379,301178,002717,600831,000607,300096,000503,600880,300773,603000,002967,688051,688579,002093,002212,300079,688590,603888,300531,300659,601811,300188,000925,688327,300212,000681,301169,688489,300895"
30,证金持股,concept,37,0.15,246,"600037,600633,600900,600570,000538,002244,300341,002396,600056,600422,002225,601166,601727,601801,600120,600578,601601,002250,600030,600383,002153,600812,601216,601688,601155,603000,000062,601939,000338,600153,601318,600588,000997,002236,601336,002475,600010"
31,苹果概念,concept,33,0.248,133,"300567,603327,605588,300183,600392,688097,002957,300134,002079,002036,002056,002903,688093,300207,300433,600839,300460,688001,300136,301338,300461,300684,301360,301512,301312,301169,873726,002475,688559,301387,430425,688312,301086"
32,石墨烯,concept,21,0.259,81,"300697,000532,300409,300173,603110,832175,600516,839719,002632,600503,002418,002243,002106,300134,300438,300068,835185,300684,300890,300207,300035"
33,水利,concept,44,0.244,180,"839790,002062,301091,301259,301027,600283,603636,688069,301172,301218,603357,688066,002694,002941,300520,002586,300675,603280,603815,002061,002761,300523,002331,002717,300248,688568,000498,300649,830879,300823,688296,688109,300284,002373,300145,601789,300036,603809,002307,300603,002236,688159,301390,835174"
34,钛白粉概念,concept,1,0.077,13,002145
35,碳纤维,concept,13,0.241,54,"832522,301387,300629,871642,600843,600516,300876,000420,300719,002324,300690,301349,002085"
36,特高压,concept,15,0.144,104,"002364,002560,688334,300341,300830,601727,600879,002358,002322,834682,835508,300656,301390,870299,002545"
37,超级电容,concept,8,0.229,35,"301238,000636,002091,601608,300466,002418,002951,600458"
38,语音技术,concept,19,0.333,57,"300271,002649,600770,301178,000793,002253,002657,300458,688049,300608,300459,301262,301099,002230,688228,300605,300010,002558,600355"
