,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002098,浔兴股份,9.11,-0.33,-0.03,0.33,1.31,1.12,2.95,0.43亿,3.58亿,32.61亿,14.24
1,2,002003,伟星股份,12.82,-1.08,-0.14,-0.16,1.44,1.31,1.62,1.87亿,10.10亿,129.52亿,18.02
2,3,002674,兴业科技,10.08,-1.85,-0.19,-0.1,1.0,0.85,2.24,0.29亿,2.89亿,29.12亿,20.11
3,4,873527,夜光明,16.22,-1.99,-0.33,0.0,7.14,0.86,3.93,0.43亿,0.36亿,5.87亿,66.86
