,code,name,industry1,concept,price_change_20
52,001309,德明利,计算机设备,"存储芯片,共封装光学（CPO）,中芯国际概念",27.58
53,300552,万集科技,计算机设备,"星闪概念,ETC,数字孪生,边缘计算",22.62
54,002290,禾盛新材,"白色家电,其他白色家电",家用电器,22.24
55,002420,毅昌科技,"白色家电,其他白色家电",,15.26
56,002848,高斯贝尔,"黑色家电,其他黑色家电",,8.49
57,000801,四川九洲,"黑色家电,其他黑色家电",,2.74
58,605198,安德利,"饮料制造,软饮料","沪股通,乡村振兴",112.41
59,605337,李子园,"饮料制造,软饮料",乳业,24.76
60,002719,麦趣尔,"食品加工制造,乳品",,26.47
61,300892,品渥食品,"食品加工制造,乳品","社区团购,啤酒概念,乳业",25.84
62,605180,华生科技,"纺织制造,其他纺织",露营经济,73.58
63,300577,开润股份,"纺织制造,其他纺织","年报预增,露营经济,体育产业,小米概念",43.14
64,002780,三夫户外,服装家纺,"冰雪产业,NFT概念,旅游概念",29.36
65,300952,恒辉安防,"服装家纺,鞋帽及其他",,20.97
66,002521,齐峰新材,造纸,"年报预增,可降解塑料",42.86
67,605007,五洲特纸,造纸,,21.76
68,603499,翔港科技,包装印刷,"工业互联网,上海自贸区",48.76
69,603058,永吉股份,包装印刷,"烟草,集成电路概念,工业大麻",38.44
70,603900,莱绅通灵,"家用轻工,饰品","网络直播,新零售,黄金概念",99.78
71,603408,建霖家居,"家用轻工,其他家用轻工","智能家居,工业4.0,跨境电商,养老概念,净水概念",33.3
72,600200,江苏吴中,"化学制药,化学制剂","猴痘概念,创新药,肝炎概念,重组蛋白,幽门螺杆菌概念,仿制药一致性评价,医美概念,辅助生殖,人工智能,流感",40.7
73,688197,首药控股,"化学制药,化学制剂",,32.01
74,603963,大理药业,中药,,52.08
75,603139,康惠制药,中药,"毛发医疗,牙科医疗,农业种植,NMN概念",25.02
76,833575,康乐卫士,"生物制品,疫苗",重组蛋白,17.12
77,688136,科兴制药,"生物制品,其他生物制品","减肥药,生物疫苗",14.69
78,600511,国药股份,医药商业,芬太尼,9.12
79,002589,瑞康医药,医药商业,,8.68
80,300453,三鑫医疗,"医疗器械,医疗耗材",,22.7
81,600807,济南高新,"医疗器械,体外诊断",生态农业,22.34
82,001376,百通能源,"电力,热力",核准制次新股,29.23
83,605580,恒盛能源,"电力,热力","培育钻石,碳交易",21.94
84,000421,南京公用,燃气,"换电概念,网约车",21.37
85,002700,ST浩源,燃气,,19.92
86,601975,招商南油,港口航运,航运概念,20.72
87,001205,盛航股份,港口航运,,17.47
88,600368,五洲交通,"公路铁路运输,高速公路",,11.4
89,601333,广深铁路,公路铁路运输,,11.19
90,000099,中信海直,"机场航运,航空运输",中字头股票,34.36
91,002928,华夏航空,"机场航运,航空运输",,11.85
92,600233,圆通速递,物流,统一大市场,23.38
93,002769,普路通,物流,,19.17
94,600094,大名城,"房地产开发,住宅开发","参股保险,参股券商",35.03
95,600007,中国国贸,"房地产开发,商业地产",同花顺中特估100,23.16
96,601825,沪农商行,"银行,农商行",,8.63
97,601916,浙商银行,"银行,股份制银行",,6.74
98,000415,渤海租赁,"保险及其他,多元金融",,7.83
99,600901,江苏金租,"保险及其他,多元金融",,2.85
100,601901,方正证券,证券,,6.51
101,002736,国信证券,证券,,0.58
102,002416,爱施德,"零售,专业连锁","新型烟草,参股保险,区块链,阿里巴巴概念,苹果概念",27.24
103,605188,国光连锁,"零售,百货零售",,24.83
104,600250,南京商旅,贸易,,27.08
105,000701,厦门信达,贸易,"AIGC概念,互联网金融,MiniLED,无人零售,智能物流,金属镍,福建自贸区,移动支付,物联网,节能照明,海峡两岸,石墨烯",23.4
106,000888,峨眉山A,"景点及旅游,自然景点",智慧政务,27.24
107,300859,*ST西域,"景点及旅游,自然景点","冰雪产业,新疆振兴",27.04
108,301073,君亭酒店,酒店及餐饮,"共同富裕示范区,杭州亚运会",30.23
109,000610,西安旅游,酒店及餐饮,,16.88
110,002544,普天科技,通信服务,"PCB概念,数据中心,网络安全,云计算,边缘计算,5G,卫星导航",37.63
111,600804,ST鹏博士,通信服务,"算力租赁,东数西算（算力）,数据中心,云游戏,在线教育,云计算,云办公,超清视频,腾讯概念",21.24
112,688631,莱斯信息,"计算机应用,软件开发","低空经济,国企改革,央企国企改革,新股与次新股,科创次新股,注册制次新股,智能交通,华为概念,融资融券,智慧城市",80.48
113,834415,恒拓开源,"计算机应用,软件开发","拼多多概念,国产软件,百度概念,大数据",37.48
114,301025,读客文化,"传媒,出版","知识产权保护,文化传媒",45.81
115,300133,华策影视,"传媒,影视院线","AI语料,Sora概念(文生视频),多模态AI,短剧游戏,数据要素,AIGC概念,元宇宙,NFT概念,知识产权保护,旅游概念,网络直播,网红经济,虚拟现实,手机游戏,参股新三板,网络游戏",30.44
116,000833,粤桂股份,综合,"农业种植,广东自贸区,化肥",22.78
117,600673,东阳光,综合,PVDF概念,19.09
118,688070,纵横股份,"国防军工,航空装备",时空大数据,49.76
119,000697,*ST炼石,"国防军工,航空装备",,26.43
120,603612,索通发展,非金属材料,石墨电极,21.38
121,603688,石英股份,非金属材料,,10.49
122,000737,北方铜业,"工业金属,铜","国企改革,深股通,金属铜,参股券商,黄金概念",97.88
123,000603,盛达资源,"工业金属,铅锌","金属锌,金属镍,文化传媒",45.75
124,300139,晓程科技,贵金属,"电力物联网,民爆概念,绿色电力,集成电路概念,一带一路,芯片概念,光伏概念,智能电网",62.01
125,000506,中润资源,贵金属,"物业管理,一带一路,小金属概念",50.78
126,603663,三祥新材,"小金属,其他小金属","宁德时代概念,固态电池,一体化压铸,专精特新,新材料概念,融资融券,稀土永磁",90.09
127,002167,东方锆业,"小金属,其他小金属","牙科医疗,新材料概念,小金属概念,稀土永磁",57.84
128,300484,蓝海华腾,"自动化设备,工控设备","新型工业化,高压快充,智能制造,MCU芯片,工业4.0,第三代半导体,燃料电池,智能物流,粤港澳大湾区,芯片概念,锂电池",44.75
129,300489,光智科技,"自动化设备,激光设备","先进封装,中俄贸易概念,第三代半导体,黑龙江自贸区,无人驾驶",32.71
130,002584,西陇科学,电子化学品,,10.36
131,688146,中船特气,电子化学品,"国家大基金持股,中船系",9.83
132,002705,新宝股份,小家电,,19.47
133,603219,富佳股份,小家电,,17.34
134,002035,华帝股份,厨卫电器,,8.29
135,002543,万和电气,厨卫电器,,4.85
136,300347,泰格医药,"医疗服务,医疗研发外包","创新药,CRO概念,MSCI概念,医疗器械概念",32.83
137,301230,泓博医药,"医疗服务,医疗研发外包","ChatGPT概念,新冠特效药,智能医疗,流感",27.58
138,000560,我爱我家,房地产服务,ChatGPT概念,12.5
139,002968,新大正,房地产服务,,7.33
140,601113,华鼎股份,互联网电商,,12.85
141,605136,丽人丽妆,互联网电商,,6.0
142,603377,东方时尚,教育,,7.07
143,300010,*ST豆神,教育,,6.52
144,300887,谱尼测试,"其他社会服务,专业服务","核污染防治,猴痘概念,抗原检测,肝炎概念,土壤修复,幽门螺杆菌概念,CRO概念,食品安全,基因测序,5G,生物医药",42.91
145,603373,安邦护卫,"其他社会服务,专业服务","安防,职业教育,阿里巴巴概念",26.29
146,300135,宝利国际,石油加工贸易,新疆振兴,22.27
147,603798,康普顿,石油加工贸易,,21.17
148,301049,超越科技,"环保,固废治理","节能环保,汽车拆解概念,医疗废物处理,动力电池回收,金属回收,固废处理",66.86
149,301500,飞南资源,"环保,固废治理","新股与次新股,碳中和,节能环保,注册制次新股,金属铜,金属回收,固废处理",51.65
150,603059,倍加洁,"美容护理,个护用品",,19.38
151,300740,水羊股份,"美容护理,化妆品","毛发医疗,拼多多概念",12.12
152,300087,荃银高科,种子生产,,0.87
153,600354,敦煌种业,种子生产,,0.17
154,601952,苏垦农发,粮食种植,"大豆,玉米",9.15
155,600598,北大荒,粮食种植,,4.75
156,002679,福建金森,林业,,7.09
157,600265,ST景谷,林业,,5.52
158,600097,开创国际,海洋捕捞,上海国企改革,23.12
159,000798,中水渔业,海洋捕捞,,18.3
160,300094,国联水产,水产养殖,网红经济,13.89
161,001201,东瑞股份,畜禽养殖,,23.63
162,001366,播恩集团,饲料,,15.14
