,code,name,momentum_d,momentum_w,day_5,day_10,day_20,industry1,concept,price_change_per,score
43,301016,雷尔伟,159.67,154.49,-7.56,-23.96,48.74,"非汽车交运,轨交设备","储能,高铁,一带一路,高端装备",-0.05,3.0
44,689009,九号公司,31.51,30.84,11.96,18.18,18.09,"非汽车交运,其他交运设备","英伟达概念,储能,机器人概念,两轮车,小米概念",1.36,2.66
45,300615,欣天科技,83.22,90.28,78.29,85.83,79.67,"通信设备,通信终端及配件","工业母机,人民币贬值受益,5G,充电桩,新能源汽车",20.0,4.67
46,688100,威胜信息,19.2,18.44,-2.94,10.14,5.38,"通信设备,通信终端及配件",电力物联网,0.74,1.67
47,300462,华铭智能,33.97,113.23,-1.97,7.28,2.45,计算机设备,"液冷服务器,换电概念,ETC,数字货币,移动支付",6.41,3.0
48,603516,淳中科技,9.98,235.18,-3.12,1.9,-21.74,计算机设备,"MR（混合现实）,超清视频",-1.07,2.0
49,000404,长虹华意,20.74,20.19,6.56,6.37,9.27,"白色家电,其他白色家电",家用电器,1.35,2.66
50,000521,长虹美菱,27.66,26.21,-0.98,7.58,6.03,"白色家电,冰洗","血氧仪,空气能热泵,净水概念",0.12,1.6700000000000002
51,002461,珠江啤酒,12.41,25.69,4.05,9.11,9.25,"饮料制造,啤酒","啤酒概念,世界杯",0.0,4.34
52,000848,承德露露,11.6,11.21,4.05,6.89,6.48,"饮料制造,软饮料",,-0.24,2.0
53,002956,西麦食品,17.1,16.32,2.73,9.99,6.7,"食品加工制造,休闲食品",,-1.17,3.67
54,002661,克明食品,11.64,21.22,4.31,6.99,3.69,"食品加工制造,其他食品",猪肉,-0.57,3.34
55,002098,浔兴股份,37.43,35.39,3.14,6.65,24.55,"纺织制造,辅料","网红经济,壳资源,跨境电商",1.32,3.67
56,300979,华利集团,10.54,61.2,3.73,2.52,-5.15,"纺织制造,其他纺织",,-2.56,2.66
57,002656,ST摩登,25.98,65.71,18.9,21.77,62.37,服装家纺,"分拆上市意愿,区块链,腾讯概念,虚拟现实,三胎概念,ST板块",1.34,5.0
58,002569,ST步森,15.57,61.52,0.46,-4.22,7.87,服装家纺,供应链金融,-0.3,1.67
59,603499,翔港科技,35.53,34.08,-3.83,17.24,17.69,包装印刷,上海自贸区,-5.26,4.0
60,002701,奥瑞金,8.78,13.5,1.41,5.87,7.18,包装印刷,"工业大麻,足球概念",0.46,2.34
61,603900,莱绅通灵,41.91,41.22,5.86,31.86,31.28,"家用轻工,饰品","网络直播,黄金概念",9.96,4.0
62,603389,亚振家居,35.86,46.82,20.34,31.6,21.5,"家用轻工,家具","培育钻石,智能家居,旅游概念,创投",10.09,3.6799999999999997
63,000908,*ST景峰,278.95,265.0,15.77,48.55,140.19,"化学制药,化学制剂","创新药,仿制药一致性评价,基因测序,健康中国,医美概念,消毒剂,债转股(AMC概念),互联网医疗,医疗器械概念,眼科医疗,ST板块,生物医药,流感",-4.81,3.67
64,000597,东北制药,56.46,54.8,44.01,51.8,48.36,"化学制药,化学制剂","智能制造,仿制药一致性评价,禽流感,辅助生殖,标普道琼斯A股,深股通,医药电商",10.09,3.0
65,300147,香雪制药,209.73,191.99,55.09,168.69,152.57,中药,"创新药,数字经济,禽流感,辅助生殖,参股保险,细胞免疫治疗,融资融券,生物医药,横琴新区",-5.15,5.0
66,600285,羚锐制药,16.62,10.55,10.67,9.36,-2.98,中药,芬太尼,-0.52,2.0100000000000002
67,833575,康乐卫士,16.63,20.51,12.24,10.25,9.67,"生物制品,疫苗",重组蛋白,5.67,4.0
68,688428,诺诚健华,11.04,32.04,4.79,7.25,4.91,"生物制品,其他生物制品",,2.45,3.0
69,600511,国药股份,14.98,14.65,0.75,4.5,10.13,医药商业,,-1.2,4.67
70,600833,第一医药,6.9,13.33,-1.4,1.26,5.44,医药商业,,-0.71,2.67
71,688426,康为世纪,81.14,69.57,10.41,37.54,70.12,"医疗器械,体外诊断","幽门螺杆菌概念,医疗器械概念",-0.44,4.34
72,300653,正海生物,23.14,27.71,14.19,11.64,12.1,"医疗器械,医疗耗材","重组蛋白,牙科医疗",15.81,2.67
73,300040,九洲集团,26.85,25.92,7.47,9.69,-0.19,"电力,新能源发电","生物质能发电,抽水蓄能,光伏建筑一体化,高铁",-1.85,3.0
74,600101,明星电力,18.17,174.25,5.12,5.64,-11.59,"电力,电能综合服务","绿色电力,钒电池,小金属概念",-1.6,2.34
75,002700,ST浩源,16.33,104.79,10.18,9.41,26.5,燃气,"天然气,参股保险",0.74,4.67
76,600635,大众公用,77.9,77.9,-9.35,-8.83,13.88,燃气,创投,-1.84,2.34
77,601326,秦港股份,2.92,17.14,0.0,3.29,6.81,港口航运,,0.0,3.0
78,000582,北部湾港,7.46,8.47,-1.29,2.4,3.09,港口航运,星闪概念,-0.39,1.0
79,600611,大众交通,301.78,297.57,-6.86,12.69,126.19,"公路铁路运输,公交","数据中心,物业管理,标普道琼斯A股,网约车,智能交通,融资融券,参股券商",0.42,4.0
80,600650,锦江在线,43.52,149.31,-22.02,-18.18,4.96,"公路铁路运输,公交","上海国企改革,自由贸易港,旅游概念,上海自贸区",-0.74,1.34
81,000099,中信海直,45.47,44.37,-13.27,14.09,7.19,"机场航运,航空运输",中字头股票,-2.07,4.5
82,600897,厦门空港,5.98,9.18,-1.36,1.17,-0.23,机场航运,,-0.76,3.0
83,603871,嘉友国际,19.99,96.95,-3.14,9.35,-1.38,物流,统一大市场,-1.16,3.0
84,002468,申通快递,14.97,18.65,-2.61,3.87,6.32,物流,智能物流,-1.61,2.33
85,000011,深物业A,30.65,29.99,14.37,28.28,23.39,"房地产开发,住宅开发","高股息精选,深圳国企改革",9.95,3.34
86,600463,空港股份,39.0,36.04,-6.68,22.56,13.26,"房地产开发,产业地产","北交所概念,垃圾分类,京津冀一体化",-1.01,2.33
87,600000,浦发银行,4.89,44.5,0.71,2.4,0.12,"银行,股份制银行",跨境支付（CIPS）,1.79,2.0
88,601169,北京银行,3.98,12.22,1.13,1.51,-4.62,"银行,城商行",,0.0,1.33
89,002423,中粮资本,16.08,15.65,-1.25,2.86,5.61,"保险及其他,多元金融",信托概念,-1.13,3.67
90,600830,香溢融通,36.83,50.42,-5.25,-1.02,7.93,"保险及其他,多元金融","烟草,金改",-0.89,3.0
91,600958,东方证券,20.16,19.6,0.71,5.75,11.61,证券,"期货概念,互联网金融",-0.94,5.0
92,600909,华安证券,19.45,18.93,-0.65,3.85,10.63,证券,期货概念,-1.08,2.0100000000000002
93,600280,中央商场,75.45,73.57,32.18,50.66,46.81,"零售,百货零售","预制菜,新零售,电子商务",-9.92,5.0
94,601933,永辉超市,35.19,34.07,21.08,23.85,23.85,"零售,百货零售","统一大市场,预制菜,沪股通,社区团购,MSCI概念,腾讯概念,跨境电商,冷链物流,乡村振兴",-2.17,2.68
95,600710,苏美达,4.24,17.09,-1.01,-1.38,-2.72,贸易,,-0.25,5.0
96,002059,云南旅游,34.6,32.91,2.43,20.39,13.43,"景点及旅游,人工景点","AIGC概念,虚拟数字人,元宇宙,网约车,参股银行",-5.34,4.33
97,603099,长白山,24.52,23.32,6.2,12.29,0.64,"景点及旅游,自然景点","冰雪产业,特色小镇,体育产业",0.6,2.0
98,000839,ST国安,9.32,64.82,-4.07,-2.48,-6.72,通信服务,,-1.26,4.0
99,600941,中国移动,7.54,20.18,-4.31,-3.77,-5.48,通信服务,"6G概念,电子竞技",-1.87,2.67
100,002232,启明信息,127.88,130.21,-26.67,-5.29,39.25,"计算机应用,IT服务","算力租赁,数据要素,MLOps概念,ERP概念,央企国企改革,信创,国资云,EDR概念,元宇宙,华为汽车,网络安全,车联网,云计算,工业互联网,胎压监测,国产操作系统,人工智能,国产软件,汽车电子,百度概念,大数据,卫星导航,智慧城市",-3.91,3.0
101,430564,天润科技,20.67,75.27,3.23,13.4,27.22,"计算机应用,IT服务","空间计算,通用航空",6.99,2.0100000000000002
102,300061,旗天科技,12.63,152.0,-10.89,21.83,57.84,"传媒,广告营销","抖音概念,网络安全,智慧政务,互联网医疗,互联网保险",-0.81,3.67
103,601921,浙版传媒,19.01,19.14,-0.49,6.76,8.49,"传媒,出版","短剧游戏,NFT概念,网络游戏",-4.17,3.01
104,000833,粤桂股份,11.8,12.37,1.22,5.94,2.46,综合,"农业种植,广东自贸区",0.4,4.5
105,600098,广州发展,3.1,45.07,0.16,1.66,-3.0,综合,,-0.49,3.0
106,600316,洪都航空,62.79,59.7,-4.3,5.15,27.25,"国防军工,航空装备","MSCI概念,通用航空",1.33,3.0
107,300424,航新科技,60.82,59.2,-15.26,13.67,13.28,"国防军工,航空装备",,-1.05,2.67
108,688267,中触媒,6.93,16.73,-1.78,-1.04,1.74,非金属材料,环氧丙烷,0.0,5.0
109,002379,宏创控股,15.06,75.75,2.79,3.41,-7.21,"工业金属,铝",金属回收,1.38,3.34
110,601020,华钰矿业,22.3,172.9,-11.17,-2.07,-3.4,"工业金属,铅锌","金属铅,金属锌,稀缺资源",-0.18,2.67
111,300139,晓程科技,29.79,56.54,-3.93,12.55,4.26,贵金属,"电力物联网,民爆概念",1.82,3.67
112,601028,玉龙股份,18.91,132.74,-8.93,1.88,4.22,贵金属,"煤炭概念,石墨烯",-0.35,2.67
113,603663,三祥新材,16.72,162.4,-5.16,2.95,-7.67,"小金属,其他小金属",稀土永磁,0.53,3.67
114,002428,云南锗业,13.82,48.24,-2.81,-3.12,-3.66,"小金属,其他小金属",,-2.34,3.0
115,688090,瑞松科技,37.79,180.98,-4.53,11.58,19.91,"自动化设备,机器人",机器视觉,2.62,3.67
116,002979,雷赛智能,25.17,33.88,1.71,15.36,3.9,"自动化设备,机器人","人形机器人,宁德时代概念,富士康概念",0.39,2.0
117,300576,容大感光,12.82,58.65,-5.01,-4.93,-13.05,电子化学品,,-0.35,4.0
118,300346,南大光电,15.83,49.02,-6.33,-5.84,-10.24,电子化学品,,-1.25,3.5
119,002035,华帝股份,17.71,16.72,1.55,3.81,1.71,厨卫电器,净水概念,0.93,4.5
120,002543,万和电气,11.89,59.62,-1.06,0.54,-2.21,厨卫电器,,0.0,3.0
121,300347,泰格医药,16.22,25.94,-2.02,5.6,10.64,"医疗服务,医疗研发外包",CRO概念,-1.59,4.5
122,688076,诺泰生物,12.67,61.17,-12.87,-11.24,-15.19,"医疗服务,医疗研发外包",,-1.79,3.0
123,002285,世联行,44.74,42.5,33.95,40.0,29.17,房地产服务,"恒大概念,租售同权,新型城镇化,物业管理,特色小镇,债转股(AMC概念),养老概念,粤港澳大湾区,华为概念,参股新三板,横琴新区",10.15,4.67
124,000560,我爱我家,32.91,45.7,7.41,18.85,18.37,房地产服务,"ChatGPT概念,AIGC概念,鸿蒙概念,租售同权",0.35,3.34
125,300209,*ST有树,28.33,53.52,6.3,19.58,12.11,互联网电商,柔性屏,-1.71,5.0
126,300192,科德教育,66.81,71.57,3.73,32.41,32.41,教育,"东数西算（算力）,新材料概念,在线教育,节能环保,职业教育,参股新三板",-2.21,4.33
