,code,name,momentum,industry1,concept
0,600265,ST景谷,10.14,种植业与林业,
1,601118,海南橡胶,5.98,"种植业与林业,其他种植业",
2,605296,神农集团,17.67,"养殖业,畜禽养殖",猪肉
3,300761,立华股份,17.53,"养殖业,畜禽养殖",养鸡
4,300175,朗源股份,50.23,"农产品加工,果蔬加工","期货概念,云计算,工业大麻,土地流转"
5,001313,粤海饲料,34.88,"农产品加工,饲料",预制菜
6,838275,驱动力,6.15,"农业服务,动物保健",
7,601699,潞安环能,25.59,煤炭开采加工,
8,601666,平煤股份,25.18,煤炭开采加工,
9,603619,中曼石油,60.12,"油气开采及服务,油服工程","俄乌冲突概念,天然气"
10,600968,海油发展,41.87,"油气开采及服务,油服工程","碳交易,航运概念"
11,002053,云南能投,51.01,"化学原料,无机盐","绿色电力,天然气"
12,300891,惠云钛业,44.56,"化学原料,钛白粉",钛白粉概念
13,300641,正丹股份,376.12,"化学制品,其他化学制品","一季报预增,新材料概念,锂电池"
14,300905,宝丽迪,116.69,"化学制品,纺织化学用品","专精特新,新材料概念,光刻胶,节能环保,融资融券"
15,000949,新乡化纤,91.3,"化工合成材料,氨纶",深股通
16,300644,南京聚隆,67.69,"化工合成材料,改性塑料","PEEK材料,毫米波雷达,汽车热管理,特斯拉,可降解塑料,高铁,充电桩,碳纤维,特高压"
17,600782,新钢股份,20.34,"钢铁,普钢",分拆上市意愿
18,600019,宝钢股份,13.86,"钢铁,普钢",石墨电极
19,688456,有研粉材,24.8,"金属新材料,其他金属新材料",
20,601137,博威合金,17.79,"金属新材料,其他金属新材料",
21,300374,中铁装配,43.93,"建筑材料,其他建材","装配式建筑,乡村振兴,新疆振兴,建筑节能"
22,833580,科创新材,34.22,"建筑材料,耐火材料",
23,603017,中衡设计,108.57,"建筑装饰,工程咨询服务","低空经济,元宇宙,光伏建筑一体化,数据中心,新型城镇化,装配式建筑,数字孪生,独角兽概念,杭州亚运会,虚拟现实,一带一路,建筑节能"
24,300284,苏交科,87.01,"建筑装饰,工程咨询服务","空间计算,核污染防治,储能,新型城镇化,雄安新区,智能交通,PPP概念,粤港澳大湾区,一带一路,无人机,智慧城市,水利,通用航空,京津冀一体化"
25,001696,宗申动力,63.9,"通用设备,其他通用设备","高股息精选,北交所概念,农机,氢能源,两轮车,燃料电池,航空发动机,乡村振兴"
26,301368,丰立智能,46.89,"通用设备,金属制品","人形机器人,减速器,农机"
27,600894,广日股份,111.33,"专用设备,楼宇设备","高股息精选,新型工业化,证金持股,国企改革,沪股通,机器人概念,工业4.0,汽车电子,新能源汽车"
28,300411,金盾股份,64.09,"专用设备,其他专用设备","共同富裕示范区,核电"
29,300349,金卡智能,29.64,仪器仪表,传感器
30,300720,海川智能,27.46,仪器仪表,
31,835508,殷图网联,74.96,"电力设备,电气自控设备","固态电池,特高压,智能电网"
32,301238,瑞泰新材,66.4,"电力设备,电池","宁德时代概念,有机硅概念,汽车热管理,钠离子电池,超级电容,高压快充"
33,688138,清溢光电,36.8,"半导体及元件,半导体材料","中芯国际概念,OLED"
34,688766,普冉股份,36.29,"半导体及元件,集成电路设计","存储芯片,MCU芯片"
35,002106,莱宝高科,25.93,"光学光电子,面板",
36,003019,宸展光电,24.69,"光学光电子,面板",
37,300975,商络电子,48.46,其他电子,"存储芯片,统一大市场,小米概念"
38,002130,沃尔核材,39.86,其他电子,超导概念
39,300916,朗特智能,71.71,"消费电子,消费电子零部件及组装","比亚迪概念,露营经济,新型烟草,储能,消费电子概念,智能家居,无线耳机,医疗器械概念,充电桩"
40,300843,胜蓝股份,51.83,"消费电子,消费电子零部件及组装","铜缆高速连接,新型烟草,小米概念"
41,600686,金龙汽车,31.42,"汽车整车,商用载客车","室外经济,世界杯"
42,600733,北汽蓝谷,19.7,"汽车整车,乘用车",
43,002715,登云股份,101.05,汽车零部件,"时空大数据,比亚迪概念,壳资源,创投,黄金概念"
44,002590,万安科技,65.24,汽车零部件,"长安汽车概念,绿色电力,无线充电,车联网"
45,688015,交控科技,41.83,"非汽车交运,轨交设备",元宇宙
46,000913,钱江摩托,41.68,"非汽车交运,其他交运设备",两轮车
47,838030,德众汽车,30.92,汽车服务,汽车拆解概念
48,601965,中国汽研,14.31,汽车服务,
49,300711,广哈通信,120.65,"通信设备,其他通信设备","军工信息化,低空经济,国企改革,华为鲲鹏,军民融合,人工智能,人脸识别,5G,量子科技,卫星导航,智能电网"
50,300563,神宇股份,79.92,"通信设备,通信线缆及配套","铜缆高速连接,数字经济,EDR概念,WiFi 6,专精特新,消费电子概念,医疗器械概念,汽车电子,华为概念,芯片概念,无人机,5G,卫星导航,苹果概念,新能源汽车"
51,002835,同为股份,77.13,计算机设备,"数字经济,数据安全,安防,网络安全,人民币贬值受益,人工智能,人脸识别,智慧城市"
52,300552,万集科技,48.81,计算机设备,"星闪概念,传感器,ETC"
53,000921,海信家电,42.34,"白色家电,空调","空气能热泵,家用电器,世界杯"
54,600690,海尔智家,27.09,"白色家电,冰洗","空气能热泵,超级品牌,净水概念"
55,000801,四川九洲,44.27,"黑色家电,其他黑色家电","F5G概念,WiFi 6,超清视频"
56,688609,九联科技,23.82,"黑色家电,其他黑色家电",
57,605198,安德利,39.84,"饮料制造,软饮料",
58,603198,迎驾贡酒,20.27,"饮料制造,白酒",白酒概念
59,002956,西麦食品,23.49,"食品加工制造,休闲食品",
60,833429,康比特,17.23,"食品加工制造,其他食品",
61,002083,孚日股份,28.71,"纺织制造,棉纺","抗病毒面料,托育服务"
62,002042,华孚时尚,26.68,"纺织制造,棉纺","农业种植,C2M概念"
63,600630,龙头股份,26.65,服装家纺,"上海国企改革,上海自贸区"
64,002563,森马服饰,25.71,服装家纺,社区团购
65,002078,太阳纸业,20.85,造纸,
66,002521,齐峰新材,19.13,造纸,
67,838163,方大新材,55.34,包装印刷,智能制造
68,870204,沪江材料,42.98,包装印刷,"核污染防治,PET铜箔"
69,301055,张小泉,33.75,"家用轻工,其他家用轻工",超级品牌
70,301188,力诺特玻,31.33,"家用轻工,其他家用轻工",
71,300381,溢多利,68.74,"化学制药,原料药","合成生物,NMN概念,燃料乙醇,横琴新区"
72,833230,欧康医药,52.24,"化学制药,原料药",
73,600993,马应龙,33.61,中药,"仿制药一致性评价,民营医院,基因测序,医药电商,眼科医疗"
74,600329,达仁堂,24.93,中药,
