,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
0,1,鸡肉概念,BK0887,738.71,37.55,5.36,388591808000,1.67,19,1,晓鸣股份,20.02
1,2,猪肉概念,BK0882,1169.36,43.09,3.83,923226112000,1.97,34,3,神农集团,10.0
2,3,空间计算,BK1143,985.7,27.77,2.9,115256380000,2.9,17,6,天亿马,19.99
3,4,水产养殖,BK0967,727.06,17.7,2.5,239866663000,1.82,14,2,神农种业,10.11
4,5,AI制药,BK1170,910.58,22.11,2.49,113960880000,2.52,11,3,泓博医药,18.26
5,6,重组蛋白,BK1063,770.46,18.62,2.48,162618460000,1.62,11,2,睿智医药,13.34
6,7,转基因,BK0907,1152.6,26.57,2.36,104866198000,1.9,14,0,康农种业,6.36
7,8,新冠药物,BK1060,750.0,16.67,2.27,584909616000,1.83,48,8,香雪制药,19.97
8,9,长寿药,BK0936,894.15,19.81,2.27,129111592000,2.0,15,0,雪榕生物,5.71
9,10,稀缺资源,BK0519,21944.27,480.49,2.24,3238138080000,0.94,68,8,岳阳林纸,10.0
10,11,超超临界发电,BK1087,1109.57,23.4,2.15,926617424000,0.77,41,2,赣能股份,6.57
11,12,地热能,BK0622,2967.71,62.31,2.14,89320831000,2.67,12,1,海立股份,10.03
12,13,熊去氧胆酸,BK1120,912.3,19.12,2.14,354608336000,1.43,18,3,海辰药业,8.46
13,14,煤化工,BK0492,8221.83,170.15,2.11,2615970192000,0.92,61,12,新集能源,9.96
14,15,血氧仪,BK1122,874.19,18.0,2.1,137074037000,1.73,12,2,华盛昌,9.99
15,16,海洋经济,BK0623,2184.03,44.85,2.1,730117472000,1.11,23,3,东方国信,9.09
16,17,风能,BK0595,1691.97,34.25,2.07,6572616960000,0.86,175,36,飞沃科技,19.98
17,18,统一大市场,BK1077,946.48,19.03,2.05,322897440000,1.09,34,4,天顺股份,10.03
18,19,绿色电力,BK1024,947.5,18.85,2.03,4976657408000,0.74,118,10,岳阳林纸,10.0
19,20,磁悬浮概念,BK0975,1461.8,27.84,1.94,729195600000,0.99,25,3,鼎汉技术,11.25
20,21,熔盐储能,BK1103,643.53,12.25,1.94,67607671000,1.09,8,0,西子洁能,6.33
21,22,上证50_,BK0611,1832.55,34.32,1.91,26524521216000,0.29,42,8,中国神华,6.17
22,23,海工装备,BK0601,1423.61,26.65,1.91,1210157920000,0.98,36,7,新强联,8.19
23,24,中特估,BK1139,1070.07,19.81,1.89,23043207680000,0.31,66,15,深桑达Ａ,7.93
24,25,粮食概念,BK1086,651.75,11.95,1.87,162444858000,2.01,21,6,神农种业,10.11
25,26,快递概念,BK0990,806.16,14.58,1.84,584399040000,0.99,36,6,天顺股份,10.03
26,27,工程机械概念,BK0991,1073.54,19.35,1.84,906305024000,0.8,39,7,中环海陆,11.45
27,28,昨日涨停_含一字,BK1050,20799.17,370.67,1.81,546173200000,0.85,27,22,泰尔股份,9.92
28,29,光伏高速公路,BK1096,1216.32,21.42,1.79,100033344000,0.58,7,0,山东高速,3.34
29,30,千金藤素,BK1083,981.64,16.83,1.74,141192175000,0.75,4,1,方盛制药,3.31
30,31,减速器,BK1100,929.93,15.68,1.72,366923152000,2.67,44,10,宁波东力,10.07
31,32,微盘股,BK1158,1627.53,27.11,1.69,642873744000,2.18,314,78,东晶电子,10.04
32,33,铁路基建,BK0592,1995.78,32.81,1.67,3034456784000,0.84,92,22,摩恩电气,9.97
33,34,中字头,BK0505,7931.99,130.28,1.67,16716732672000,0.45,83,21,中粮资本,10.01
34,35,数字阅读,BK0959,1397.95,22.85,1.66,188874445000,1.38,15,2,凤凰传媒,6.62
35,36,空气能热泵,BK1102,1098.28,17.65,1.63,1193739616000,2.09,27,5,海立股份,10.03
36,37,肝炎概念,BK1078,1110.04,17.77,1.63,454340048000,2.0,40,5,新光药业,12.7
37,38,土壤修复,BK1070,693.22,11.05,1.62,179246282000,2.42,25,6,蒙草生态,14.07
38,39,净水概念,BK1068,1028.89,16.33,1.61,1263429408000,0.93,16,3,威派格,5.24
39,40,蒙脱石散,BK1123,977.4,15.32,1.59,63204946000,2.06,8,3,仟源医药,10.05
40,41,草甘膦,BK0950,1405.55,21.87,1.58,154464133000,0.8,13,1,兴发集团,4.03
41,42,宠物经济,BK0993,614.46,9.5,1.57,186614637000,1.29,24,9,浙江正特,5.29
42,43,免疫治疗,BK0698,1275.45,19.55,1.56,465472640000,1.67,35,7,香雪制药,19.97
43,44,创业板综,BK0742,1269.13,19.39,1.55,12349827328000,3.9,1085,257,深水海纳,20.02
44,45,CRO,BK0899,1338.71,20.31,1.54,524708464000,2.45,28,9,泓博医药,18.26
45,46,RCEP概念,BK0962,869.31,12.97,1.51,175190049000,0.79,19,3,华英农业,7.03
46,47,地下管网,BK1058,853.26,12.71,1.51,292951024000,1.94,33,10,青龙管业,7.19
47,48,超级品牌,BK0811,2300.31,34.08,1.5,9027577600000,1.23,28,4,东阿阿胶,5.56
48,49,海绵城市,BK0724,786.61,11.64,1.5,250568969000,2.77,23,11,蒙草生态,14.07
49,50,机器人执行器,BK1145,997.23,14.63,1.49,338596304000,1.9,16,8,宁波东力,10.07
50,51,6G概念,BK0964,1136.5,16.4,1.46,434775232000,3.28,17,6,创远信科,10.66
51,52,减肥药,BK1146,974.8,13.89,1.45,411077280000,1.55,20,6,睿智医药,13.34
52,53,GDR,BK0868,909.28,12.71,1.42,1578570880000,1.1,8,3,长江电力,4.41
53,54,气溶胶检测,BK1065,1099.87,15.36,1.42,211756780000,1.02,8,3,捷强装备,14.31
54,55,汽车热管理,BK1089,1256.38,17.31,1.4,600405696000,2.77,61,13,海立股份,10.03
55,56,工业大麻,BK0856,1450.48,19.98,1.4,410510496000,1.95,39,6,岳阳林纸,10.0
56,57,中药概念,BK0615,1971.25,27.11,1.39,2035964240000,1.51,116,26,奇正藏药,9.99
57,58,建筑节能,BK1076,785.28,10.79,1.39,179385447000,1.58,35,6,诚邦股份,7.29
58,59,新型城镇化,BK1080,750.05,10.28,1.39,369593536000,1.93,78,16,文科股份,8.19
59,60,注射器概念,BK0973,837.11,11.4,1.38,75618917000,1.99,12,1,五洲医疗,3.66
60,61,预制菜概念,BK1025,912.46,12.41,1.38,610602576000,1.49,41,13,湘佳股份,9.99
61,62,流感,BK0906,1422.44,19.3,1.38,1331247456000,1.57,84,22,奇正藏药,9.99
