,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
408,409,000012,南  玻Ａ,4.7,-2.08,-0.1,121680.0,57186636.71,3.75,4.82,4.64,4.8,4.8,0.62,9.84,1.03
409,410,600706,曲江文旅,8.46,-2.31,-0.2,58015.0,48919121.0,4.73,8.71,8.3,8.64,8.66,2.28,-5.77,3.72
410,411,603979,金诚信,36.35,-2.36,-0.88,50875.0,185808191.0,3.33,37.4,36.16,37.36,37.23,0.82,18.32,2.83
411,412,600500,中化国际,3.64,-2.41,-0.09,148288.0,54135187.0,3.75,3.74,3.6,3.72,3.73,0.41,530.24,0.85
412,413,002707,众信旅游,6.19,-2.52,-0.16,224179.0,138192796.0,4.57,6.35,6.06,6.35,6.35,2.72,42.38,7.34
413,414,600026,中远海能,12.76,-2.52,-0.33,237246.0,302746000.0,5.04,13.21,12.55,13.17,13.09,0.68,11.68,1.71
414,415,002037,保利联合,6.61,-2.79,-0.19,166640.0,110507067.09,5.59,6.88,6.5,6.78,6.8,3.44,-30.75,1.68
415,416,000893,亚钾国际,15.26,-2.8,-0.44,63885.0,98161235.73,4.08,15.82,15.18,15.76,15.7,0.79,26.25,1.23
416,417,001979,招商蛇口,8.56,-2.84,-0.25,490764.0,421320680.36,5.56,8.89,8.4,8.82,8.81,0.59,27.36,0.8
417,418,600104,上汽集团,11.79,-2.88,-0.35,229615.0,272515245.0,3.38,12.16,11.75,12.15,12.14,0.2,10.3,0.48
418,419,000610,西安旅游,11.55,-2.94,-0.35,118179.0,135893644.5,3.28,11.74,11.35,11.62,11.9,5.02,-21.48,6.31
419,420,600585,海螺水泥,19.81,-2.99,-0.61,172709.0,342740421.0,3.48,20.41,19.7,20.32,20.42,0.43,15.78,0.57
420,421,300374,中铁装配,13.16,-3.09,-0.42,149053.0,196519062.52,5.08,13.65,12.96,13.36,13.58,7.33,-33.11,3.77
421,422,600691,阳煤化工,1.52,-3.18,-0.05,249550.0,38000953.0,7.64,1.6,1.48,1.58,1.57,1.05,-6.3,0.83
422,423,000505,京粮控股,5.34,-3.26,-0.18,173931.0,93217562.76,3.99,5.5,5.28,5.5,5.52,2.75,80.68,1.24
423,424,002226,江南化工,3.69,-3.4,-0.13,243874.0,90416660.2,4.97,3.84,3.65,3.83,3.82,1.33,11.7,1.08
424,425,002302,西部建设,5.64,-3.42,-0.2,583410.0,329374238.53,4.11,5.79,5.55,5.79,5.84,4.62,632.43,0.78
425,426,600096,云天化,19.34,-3.49,-0.7,238472.0,465060048.0,4.44,20.1,19.21,20.03,20.04,1.3,6.24,1.79
426,427,000151,中成股份,9.87,-3.8,-0.39,330941.0,335810603.01,6.92,10.56,9.85,10.4,10.26,10.75,-16.06,5.96
427,428,601156,东航物流,14.55,-4.46,-0.68,193845.0,280860211.0,8.67,15.45,14.13,14.98,15.23,2.05,9.04,1.38
428,429,000506,*ST中润,1.4,-4.76,-0.07,60186.0,8426040.0,0.0,1.4,1.4,1.4,1.47,0.65,-11.84,2.05
429,430,002742,ST三圣,2.53,-4.89,-0.13,51382.0,13090949.0,6.02,2.69,2.53,2.69,2.66,1.19,-8.22,3.89
430,431,002104,恒宝股份,5.65,-7.53,-0.46,762363.0,433659537.82,7.36,5.98,5.53,5.86,6.11,12.81,31.27,1.81
