,code,name,momentum_d,momentum_w,day_5,day_10,day_20,industry1,concept,price_change_per,score
393,832522,纳科诺尔,53.49,582.46,4.44,20.97,30.95,电池,"固态电池,钠离子电池,比亚迪概念,宁德时代概念",4.6,1.2
394,300153,科泰电源,110.14,416.37,36.58,76.87,130.28,其他电源设备,,20.02,3.3
395,300870,欧陆通,38.19,327.99,33.28,29.92,46.33,其他电源设备,液冷服务器,20.0,1.1300000000000001
396,688691,灿芯股份,36.26,184.68,1.17,3.2,2.45,集成电路制造,,6.45,2.3
397,688347,华虹公司,33.85,112.89,27.76,21.85,30.9,集成电路制造,,2.66,1.73
398,300077,国民技术,25.02,350.92,14.14,15.78,19.4,集成电路设计,"石墨电极,移动支付,EDR概念",20.01,1.2
399,688362,甬矽电子,26.91,135.19,20.09,12.61,1.14,集成电路封测,,-0.09,1.8
400,301297,富乐德,16.0,330.46,2.16,-0.02,4.57,半导体设备,,1.9,1.2
401,688419,耐科装备,32.97,96.97,7.6,8.05,16.83,半导体设备,,1.74,1.1
402,301189,奥尼电子,42.86,50.33,8.1,10.61,16.16,品牌消费电子,,0.93,1.73
403,300866,安克创新,22.61,134.11,7.27,7.04,12.97,品牌消费电子,,3.86,1.4700000000000002
404,603777,来伊份,88.86,209.22,-1.84,-3.93,-39.43,休闲食品,白酒概念,-0.93,2.3
405,002582,好想你,57.87,161.49,3.88,9.2,-10.41,休闲食品,"生态农业,农业种植,人造肉",-0.74,1.4
406,002193,如意集团,121.21,274.91,-5.67,-1.44,-16.87,服装,新疆振兴,-1.28,1.53
407,603226,菲林格尔,60.19,111.63,2.66,4.33,16.06,瓷砖地板,,0.52,3.3
408,002162,悦心健康,50.44,83.62,-2.44,1.98,0.0,瓷砖地板,,-2.7,1.53
409,688163,赛伦生物,22.64,88.91,2.19,1.62,6.56,血液制品,,-0.16,3.3
410,300318,博晖创新,19.32,53.66,1.18,3.62,11.3,血液制品,,0.17,1.65
411,870204,沪江材料,31.88,598.09,8.09,10.33,10.55,包装,"核污染防治,PET铜箔",2.0,2.2
412,833075,柏星龙,47.25,433.03,-8.66,6.61,12.75,包装,高股息精选,4.76,1.17
413,688185,康希诺,20.56,92.19,2.08,4.44,13.13,疫苗,,0.96,1.53
414,600739,辽宁成大,23.95,89.77,-3.37,8.35,10.66,疫苗,,0.55,1.53
415,603880,南卫股份,40.24,81.87,6.69,13.39,22.62,医疗耗材,,0.56,1.73
416,300326,凯利泰,23.54,122.14,-3.66,2.79,3.22,医疗耗材,,1.23,1.2
417,301230,泓博医药,100.09,100.09,9.1,34.2,66.46,医疗研发外包,"CRO概念,创新药",2.73,1.5
418,688131,皓元医药,56.58,159.81,11.37,19.97,34.21,医疗研发外包,减肥药,6.95,1.2
419,688315,诺禾致源,91.07,91.07,12.69,37.45,65.69,其他医疗服务,,2.17,1.7999999999999998
420,000608,阳光股份,35.27,131.13,-1.37,-1.37,-1.82,商业地产,,-1.37,2.63
421,601155,新城控股,15.1,93.71,1.87,7.2,8.6,商业地产,,1.46,2.17
422,300040,九洲集团,33.78,91.0,8.11,9.75,5.32,电能综合服务,,0.15,1.73
423,000001,平安银行,7.77,38.86,0.78,2.28,0.61,股份制银行,,-0.17,1.87
424,600000,浦发银行,11.95,33.57,-1.15,-0.48,0.78,股份制银行,,-0.96,1.1
425,601658,邮储银行,6.86,30.13,1.71,1.9,0.56,国有大型银行,,-1.47,2.2
426,601665,齐鲁银行,15.6,46.13,0.86,-0.34,6.35,城商行,,-1.18,1.77
427,002958,青农商行,6.23,45.99,0.0,0.33,1.69,农商行,,-1.31,2.2
428,601825,沪农商行,6.57,41.58,-0.5,-0.37,-2.55,农商行,,-1.47,1.4700000000000002
429,600052,东望时代,20.0,61.32,-4.04,-0.22,3.44,其他社会服务Ⅲ,,-1.1,3.3
430,600158,中体产业,38.41,38.6,-1.0,-2.57,4.47,体育,,0.25,2.7
431,002858,力盛体育,20.98,70.83,-2.14,-8.31,8.04,体育,,-0.32,2.25
432,300043,星辉娱乐,74.85,166.1,-2.56,3.71,3.46,游戏,足球概念,-0.48,1.93
433,600633,浙数文化,105.1,120.95,6.85,41.13,94.92,游戏,,2.79,1.4300000000000002
434,300571,平治信息,79.22,94.09,16.94,31.05,59.63,数字媒体,,5.92,1.73
435,301165,锐捷网络,78.35,101.83,19.38,23.98,21.85,通信网络设备及器件,,20.0,1.77
436,300913,兆龙互连,30.45,133.92,16.05,14.34,11.3,通信线缆及配套,,9.58,1.8
437,688143,长盈通,69.43,101.25,9.9,21.47,44.58,通信线缆及配套,,5.04,1.4
438,832149,利尔达,99.67,511.27,-1.17,30.12,49.51,通信终端及配件,"智能穿戴,两轮车,存储芯片,智慧灯杆,智能座舱,WiFi 6",3.6,1.5699999999999998
439,300638,广和通,131.74,335.71,5.29,4.27,91.35,通信终端及配件,"智能电网,智能座舱,WiFi 6,虚拟电厂",-9.9,1.53
440,872374,云里物里,58.95,546.4,4.89,1.2,7.48,其他通信设备,"毫米波雷达,传感器",1.93,1.93
441,688418,震有科技,19.25,182.44,19.51,7.75,5.45,其他通信设备,,1.21,1.4700000000000002
442,688788,科思科技,107.84,107.84,47.44,69.91,80.97,军工电子,,12.54,1.4
443,600590,泰豪科技,79.61,114.24,49.82,69.57,68.55,军工电子,"国产航母,碳纤维,太赫兹",10.0,1.37
444,603177,德创环保,62.52,62.52,3.48,4.83,-16.0,大气治理,,0.12,1.77
445,301127,天源环保,93.97,176.15,6.5,16.57,8.35,水务及水治理,"生物质能发电,固废处理,地下管网",3.06,1.9000000000000001
446,000605,渤海股份,11.6,212.76,-3.77,-2.24,-0.4,水务及水治理,,-1.98,1.2
447,300779,惠城环保,42.58,182.05,12.44,27.58,36.82,固废治理,,1.54,1.4700000000000002
448,831370,新安洁,31.17,251.65,2.38,6.91,7.8,固废治理,,0.0,1.2
449,002717,岭南股份,49.37,433.33,2.08,19.45,8.86,综合环境治理,"数字水印,横琴新区,特色小镇,MR(混合现实),文化传媒概念,土壤修复,新疆振兴,元宇宙",-0.51,1.53
450,600249,两面针,42.29,91.46,-3.06,2.28,5.07,个护用品,,-1.1,1.5
451,603238,诺邦股份,13.21,130.45,1.95,3.89,1.0,个护用品,,-1.95,1.2
452,300955,嘉亨家化,45.7,93.66,1.6,1.86,7.51,化妆品,,-0.87,1.7999999999999998
453,000615,ST美谷,23.32,154.91,-8.43,-11.37,-18.93,医疗美容,,-4.4,2.8
454,832982,锦波生物,17.27,95.77,3.56,2.32,0.09,医疗美容,,0.09,2.15
455,000158,常山北明,59.81,604.91,-6.62,11.37,25.73,IT服务,"华为盘古,智谱AI,参股银行,冷链物流,数据确权,数据中心,数字经济,数据安全,腾讯概念,智能交通,充电桩,车联网(车路协同),抖音概念(字节概念),京津冀一体化",2.8,1.2
456,300339,润和软件,31.1,347.31,-2.86,-2.21,15.87,,"AI智能体,华为数字能源,小米概念,ERP概念,智能电网",2.91,1.2
457,688227,品高股份,173.78,251.1,2.47,9.53,65.64,,AI智能体,11.34,1.1
458,002335,科华数据,68.34,106.58,24.25,54.1,54.4,,小红书概念,10.0,1.0
459,603662,柯力传感,29.24,323.04,7.59,-4.27,7.14,,同花顺新质50,-0.44,1.2
460,688256,寒武纪,31.08,266.7,18.57,23.93,24.95,,同花顺新质50,20.0,1.1300000000000001
461,002261,拓维信息,147.11,188.22,25.75,85.85,134.48,,"华为盘古,三胎概念,华为昇腾,手机游戏,托育服务,华为欧拉,国产操作系统,蚂蚁金服概念",10.01,2.1
462,002929,润建股份,129.97,129.12,23.98,93.01,123.65,,"华为数字能源,储能,雄安新区,数字乡村,充电桩,数字孪生,云办公,智慧灯杆,多模态AI,虚拟电厂",9.99,2.1
463,601177,杭齿前进,157.89,157.89,61.02,116.21,132.13,,"参股银行,风电,农机,化债概念(AMC概念),核电",10.02,1.73
464,835305,云创数据,201.96,250.52,0.18,69.2,142.28,,"机器视觉,新型工业化,独角兽概念",0.94,1.1
465,301536,星宸科技,123.0,133.77,5.71,16.25,23.63,,"福建自贸区,智能穿戴",1.65,1.1
466,603106,恒银科技,42.24,245.02,-0.63,-1.24,0.42,,天津自贸区,1.17,1.93
467,002134,天津普林,25.09,232.35,9.3,1.82,2.78,,天津自贸区,-1.62,1.8
468,300561,汇金科技,63.4,781.1,-2.67,-8.13,-15.26,,"人脸识别,语音技术,粤港澳大湾区,物业管理,物联网,网络安全,国产操作系统,区块链,股权转让(并购重组)",0.34,1.2
469,872953,国子软件,124.06,367.37,-2.22,56.66,82.32,,人脸识别,6.69,1.17
470,688205,德科立,50.73,361.74,5.31,1.88,23.24,,"共封装光学(CPO),F5G概念",-0.62,1.2
471,300547,川环科技,67.19,240.57,41.52,51.8,86.02,,"成飞概念,汽车热管理,飞行汽车(eVTOL)",14.86,2.9000000000000004
472,873169,七丰精工,29.24,300.98,7.95,10.95,16.92,,成飞概念,0.6,1.2
473,002681,奋达科技,99.26,215.77,18.02,15.75,31.01,,"血氧仪,星闪概念,无线充电,体育产业",-1.42,2.9000000000000004
474,688560,明冠新材,33.61,118.4,-1.34,16.3,21.16,,POE胶膜,-1.01,2.3
475,603330,天洋新材,33.49,107.59,0.38,16.08,17.98,,POE胶膜,0.13,1.53
476,000062,深圳华强,25.78,424.02,-0.21,6.06,10.96,,证金持股,3.25,1.2
477,002058,威尔泰,60.04,165.63,34.76,31.93,16.62,,石墨烯,-7.99,1.0
478,002065,东华软件,116.71,131.81,48.88,65.09,99.29,,"水利,旅游概念,跨境支付(CIPS),东数西算(算力),参股保险,华为欧拉,DRG/DIP,数字乡村",1.68,2.1
479,839790,联迪信息,84.66,591.14,-4.96,25.49,42.86,,"水利,乡村振兴,储能,手机游戏,电力物联网,人民币贬值受益,云办公",4.48,1.2
480,000688,国城矿业,31.52,95.84,-2.28,-4.69,-5.74,,钛白粉概念,-0.83,2.3
481,603067,振华股份,30.6,43.95,9.73,27.57,32.97,,钛白粉概念,0.69,1.4
482,002272,川润股份,51.78,317.09,22.66,34.56,37.32,,"特高压,垃圾分类,光热发电,超超临界发电",10.03,1.2
483,002347,泰尔股份,183.86,282.86,13.83,25.49,32.09,,"超级电容,商业航天,动力电池回收",10.02,2.9699999999999998
484,688787,海天瑞声,92.89,263.48,6.46,-3.45,7.86,,语音技术,3.64,1.1
485,600289,*ST信通,166.67,262.6,27.54,51.2,145.81,,"ST板块,黑龙江自贸区",5.01,2.1
486,002403,爱仕达,38.87,307.59,8.4,4.92,11.52,,土地流转,-1.2,1.5699999999999998
487,600708,光明地产,55.76,176.14,-0.3,-10.84,-15.86,,土地流转,-0.9,1.1
488,300680,隆盛科技,99.12,97.49,30.91,35.06,74.6,,"回购增持再贷款概念,6G概念,小米汽车",7.79,1.37
489,002364,中恒电气,96.84,246.72,12.67,47.67,50.89,,"2024三季报预增,高压快充,换电概念",10.01,1.53
490,000833,粤桂股份,35.07,362.47,-0.74,11.89,20.25,,"2024三季报预增,磷化工,广东自贸区",1.6,1.2
491,603636,南威软件,98.45,91.51,-8.76,15.84,58.61,,"房屋检测,电子身份证",2.02,1.1
492,832171,志晟信息,73.01,474.19,2.47,20.0,42.94,,"光纤概念,移动支付,养老概念",12.9,1.5699999999999998
493,301486,致尚科技,78.34,143.92,26.71,55.5,50.35,,光纤概念,10.72,1.4
494,300115,长盈精密,45.08,96.64,28.99,24.76,57.83,,"同花顺果指数,AI手机",4.94,2.1
495,300433,蓝思科技,44.92,108.27,3.13,5.39,22.25,,同花顺果指数,-0.41,1.53
496,301281,科源制药,10.39,211.15,-0.03,1.56,3.42,,维生素,-0.83,1.2
497,688244,永信至诚,143.62,143.62,-10.87,61.14,93.89,,"财税数字化,军工信息化",-0.31,1.1
498,300125,ST聆达,63.58,271.43,-9.45,-3.36,28.64,,"工业大麻,TOPCON电池,烟草,新型烟草(电子烟),HJT电池",-1.71,2.3
499,000837,秦川机床,37.92,65.53,11.28,8.18,23.44,,工业大麻,-0.09,1.0
500,873223,荣亿精密,44.78,504.17,8.85,9.33,18.27,,"航空发动机,消费电子概念,富士康概念",-0.24,1.2
501,688272,富吉瑞,114.33,114.33,25.52,77.49,93.13,,摘帽,-0.09,2.1
502,600327,大东方,136.55,189.84,-1.85,7.69,1.53,,"信托概念,预制菜,民营医院",-2.03,1.5
503,688316,青云科技,295.48,295.48,-6.67,66.47,204.06,,"无人驾驶,数据中心,互联网金融,信创,物联网,英伟达概念",-2.23,1.1
504,002400,省广集团,83.6,186.33,1.16,8.5,2.57,,横琴新区,0.31,1.1
505,300085,银之杰,45.26,719.22,-4.86,-6.03,-9.56,,"参股券商,碳中和,电子商务,数据要素,跨境电商",2.93,1.2
506,600120,浙江东方,125.73,137.2,-1.15,14.01,72.54,,"参股券商,期货概念",-1.65,1.1
507,000813,德展健康,62.86,137.27,-1.99,9.52,10.93,,"生物疫苗,减肥药,NMN概念,重组蛋白",-0.86,1.17
508,300377,赢时胜,38.26,728.26,2.75,7.43,12.99,,"华为昇腾,Web3.0",4.53,1.2
509,688502,茂莱光学,48.04,402.69,-0.31,-8.77,-7.75,,光刻机,2.4,1.93
510,300757,罗博特科,46.93,262.09,13.6,12.97,6.43,,"BC电池,HJT电池",2.13,3.3
511,839167,同享科技,24.63,158.36,10.43,9.09,10.9,,BC电池,4.16,0.8
512,301396,宏景科技,126.27,117.91,36.31,91.24,110.17,,"空间计算,旅游概念,职业教育,MR(混合现实),新型城镇化,多模态AI",12.36,1.4
513,002044,美年健康,83.18,84.28,11.54,46.76,64.03,,"阿尔茨海默概念,牙科医疗",-3.46,1.77
514,300676,华大基因,80.93,80.7,12.32,30.23,64.62,,"阿尔茨海默概念,猴痘概念",0.43,1.73
515,300007,汉威科技,72.88,158.32,55.69,52.81,60.8,,"核污染防治,食品安全,脑机接口",0.2,2.1
516,871263,莱赛激光,56.47,208.26,23.95,21.95,31.55,,"生态农业,新股与次新股",7.09,2.9299999999999997
517,600292,远达环保,15.0,330.59,0.08,-1.27,1.89,,期货概念,-1.51,1.2
518,000702,正虹科技,30.08,159.67,-10.47,6.14,6.43,,猪肉,0.79,2.3
519,300344,立方数科,117.72,181.12,7.6,64.65,15.94,,光伏建筑一体化,-0.09,1.1
520,833230,欧康医药,31.11,201.11,-3.66,4.72,15.09,,合成生物,-0.82,1.2
521,002602,ST华通,50.96,126.33,17.2,32.2,44.15,,同花顺出海50,4.93,2.5700000000000003
522,002050,三花智控,68.72,78.96,7.44,-2.75,21.81,,同花顺出海50,0.94,1.1
523,002343,慈文传媒,44.87,84.8,24.78,31.09,41.49,,AI语料,10.03,1.0
524,300956,英力股份,36.84,221.51,1.22,-3.45,-0.44,,AI PC,-0.04,1.2
525,300968,格林精密,31.64,242.35,11.05,9.81,25.38,,AI手机,-1.66,1.53
526,301171,易点天下,113.78,231.48,-5.38,-4.68,13.7,,Sora概念(文生视频),2.89,1.9000000000000001
527,002354,天娱数科,96.2,247.7,-3.33,10.93,25.5,,"Sora概念(文生视频),短剧游戏",-1.81,1.5699999999999998
528,002733,雄韬股份,85.05,84.4,17.82,17.6,4.97,,"钠离子电池,动力电池回收",4.04,1.4
529,000953,河化股份,18.71,208.37,-2.61,-5.26,-1.69,,CRO概念,-1.14,1.2
530,300287,飞利信,119.27,203.57,13.77,39.59,91.12,,"MCU芯片,时空大数据",-1.21,1.5
531,002896,中大力德,179.41,305.68,51.13,52.14,135.62,,"共同富裕示范区,减速器",10.0,1.37
532,300746,汉嘉设计,17.22,284.53,-0.98,1.0,3.62,,天然气,-0.8,1.2
533,300370,安控科技,71.43,71.43,8.2,8.89,9.24,,"天然气,页岩气",-1.72,1.1
534,873593,鼎智科技,51.38,330.84,47.46,41.99,49.77,,"3D打印,医疗器械概念",27.44,1.8
535,000056,皇庭国际,72.62,133.94,3.16,16.43,15.6,,租售同权,-1.21,1.77
536,300295,三六五网,21.92,182.17,-4.01,-4.3,2.33,,租售同权,-0.25,1.2
537,688158,优刻得,208.19,234.25,-2.53,56.49,179.94,,"云游戏,工业互联网,脑机接口,液冷服务器,智能医疗",1.63,1.9000000000000001
538,831627,力王股份,64.31,427.02,1.25,28.17,35.88,,两轮车,2.76,1.17
539,300063,天龙集团,46.59,296.03,-3.53,1.76,5.38,,丙烯酸,1.27,2.3
540,301037,保立佳,44.95,56.83,5.14,5.71,-2.59,,丙烯酸,0.0,1.4
541,300520,科大国创,114.25,158.04,3.42,10.25,26.02,,ETC,4.5,1.5
542,300379,东方通,36.51,213.27,1.44,12.91,21.78,,ETC,9.41,1.2
543,000564,供销大集,30.12,173.46,-0.98,12.69,3.78,,供销社,-0.98,1.93
544,600217,中再资环,17.13,112.74,12.01,6.5,5.87,,供销社,-2.35,1.4
545,603918,金桥信息,121.68,131.32,1.15,38.74,73.91,,"上海自贸区,Web3.0",-4.91,1.1
546,600128,苏豪弘业,86.25,83.54,4.04,2.41,-30.07,,化肥,-0.51,1.1
547,300068,南都电源,28.44,248.15,17.2,20.86,13.9,,金属回收,20.0,2.2
548,002123,梦网科技,133.24,344.15,-16.54,34.46,60.47,,"光伏概念,数字货币",0.26,1.1
549,603956,威派格,107.75,107.75,19.95,76.39,88.15,,净水概念,9.96,1.4300000000000002
550,000816,智慧农业,88.37,177.71,16.26,28.91,21.47,,"盐湖提锂,金属铅,农村电商,金属铜,金属锌",5.28,2.5700000000000003
551,300432,富临精工,31.78,189.97,23.65,15.4,24.46,,盐湖提锂,2.47,2.2
552,000856,冀东装备,101.7,178.02,36.72,45.97,122.77,,"水泥概念,建筑节能",-6.58,3.3
553,002594,比亚迪,40.13,48.79,7.57,17.16,40.42,,超级品牌,5.57,1.73
554,300562,乐心医疗,62.25,126.96,11.78,24.19,40.03,,无人零售,0.34,1.73
555,688077,大地熊,24.14,141.03,8.51,3.86,10.13,,金属钴,0.2,1.53
556,002460,赣锋锂业,52.17,77.8,-0.56,2.02,2.14,,金属钴,1.24,1.1
557,300078,思创医惠,100.72,112.12,8.73,51.83,72.92,,"举牌,家庭医生,电子纸",1.43,1.1
558,835207,众诚科技,87.8,344.44,-4.78,32.24,52.05,,"职业教育,智能医疗,数字孪生",5.73,1.2
559,601360,三六零,88.03,126.38,-5.26,-7.12,20.31,,同花顺漂亮100,3.03,1.13
560,002163,海南发展,56.59,134.92,-1.35,-2.23,2.21,,低辐射玻璃(Low-E),-1.24,2.63
561,600207,安彩高科,15.37,78.47,0.67,-4.03,5.12,,低辐射玻璃(Low-E),-0.22,1.4700000000000002
562,603881,数据港,132.77,231.9,18.39,79.82,114.28,,国资云,10.0,1.53
563,002691,冀凯股份,210.94,210.94,-1.94,9.08,94.39,,"中俄贸易概念,煤炭概念,京津冀一体化",-3.65,1.1
564,300277,海联讯,232.11,230.31,20.08,24.15,41.4,,"国企改革,人工智能,股权转让(并购重组)",3.36,1.1
565,600602,云赛智联,100.48,102.32,26.46,48.23,84.5,,"上海国企改革,PPP概念",10.01,1.4
566,300557,理工光科,35.31,67.4,29.32,27.05,38.51,,央企国企改革,0.68,1.0
567,000006,深振业A,28.57,196.38,-5.54,-4.59,-3.2,,深圳国企改革,-1.92,1.2
568,301389,隆扬电子,57.19,84.81,51.78,44.1,67.72,,PET铜箔,15.67,1.73
569,002173,创新医疗,53.64,112.8,4.09,17.36,21.36,,高压氧舱,-1.84,2.63
570,000516,国际医学,39.92,61.59,20.07,23.99,28.43,,"高压氧舱,毛发医疗",-2.71,2.13
571,837592,华信永道,64.63,524.3,-6.7,7.54,25.19,,AIGC概念,4.0,1.2
572,836247,华密新材,39.18,235.31,9.24,14.26,18.85,,有机硅概念,-1.08,1.2
573,603366,日出东方,48.54,555.08,-5.86,10.24,8.6,,"空气能热泵,快手概念,创投,沪股通,智能家居,家用电器,建筑节能",0.32,1.2
574,835985,海泰新能,30.71,276.79,8.0,3.63,12.35,,TOPCON电池,0.66,1.2
575,300056,中创环保,32.16,218.96,2.88,10.1,25.1,,钙钛矿电池,6.37,1.2
576,002547,春兴精工,66.12,197.05,17.44,16.16,14.41,,一体化压铸,1.72,1.5699999999999998
577,002965,祥鑫科技,83.45,94.07,15.99,10.95,50.63,,一体化压铸,4.5,1.1
578,603042,华脉科技,79.98,91.79,2.8,8.73,28.05,,F5G概念,2.37,1.1
579,002978,安宁股份,25.53,49.25,14.1,11.5,14.97,,钒电池,2.03,1.0
580,300632,光莆股份,69.22,84.54,7.56,28.29,37.87,,医美概念,-0.26,1.1
581,688709,成都华微,18.35,197.59,8.06,-0.27,5.76,,科创次新股,3.55,2.24
582,688695,中创股份,38.45,80.61,12.57,20.62,34.76,,科创次新股,6.83,2.1
583,603082,北自科技,45.37,58.11,17.06,11.13,31.29,,注册制次新股,1.71,1.73
584,001379,腾达科技,18.06,208.35,1.2,-0.86,8.68,,注册制次新股,0.41,1.2
585,600191,华资实业,46.56,95.72,-9.61,-13.9,3.96,,代糖概念,-1.68,1.5
